,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,round,date,season,status,home_coach,home_foramtion,home_players,away_coach,away_formation,away_players,H_avg_ratings,A_avg_ratings
153,657796,Al Wehda Club,Al Taawon,0.0,2.0,King Abdulaziz Sports City Stadium,Faisal Alblwi,20,2021-02-22T18:00:00+03:00,2020/2021,Match Finished,,,,,,,,
154,657797,Al Shabab,Al-Ahli Jeddah,3.0,0.0,Al-Shabab Club Stadium,Majed Al Shamrani,20,2021-02-22T19:35:00+03:00,2020/2021,Match Finished,,,,,,,,
155,657798,Al Baten,Al-Qadisiyah FC,2.0,2.0,Al-Batin FC Stadium,Shukri Al Hanfosh,20,2021-02-23T14:45:00+03:00,2020/2021,Match Finished,,,,,,,,
156,657799,Al-Ain,Dhamk,1.0,1.0,King Saud Sport City Stadium,Mohammed Al Hoaish,20,2021-02-23T15:10:00+03:00,2020/2021,Match Finished,,,,,,,,
157,657800,Al-Fateh,Al-Ettifaq,2.0,3.0,Prince Abdullah bin Jalawi Sports City Stadium,Turki Al Khudair,20,2021-02-23T17:20:00+03:00,2020/2021,Match Finished,,,,,,,,
158,657801,Al-Ittihad FC,Al-Faisaly FC,1.0,3.0,King Abdulaziz Sports City Stadium,Khaled Al Teris,20,2021-02-23T18:00:00+03:00,2020/2021,Match Finished,,,,,,,,
159,657802,Al-Nassr,Al-Hilal Saudi FC,1.0,0.0,Mrsool Park,E. Ostojich,20,2021-02-23T19:35:00+03:00,2020/2021,Match Finished,,,,,,,,
160,657803,Al Baten,Al Wehda Club,3.0,0.0,Al-Batin FC Stadium,Abdullah Al-Harbi,21,2021-02-27T14:50:00+03:00,2020/2021,Match Finished,,,,,,,,
161,657804,Al-Ettifaq,Al Taawon,0.0,3.0,Prince Mohamed bin Fahd Stadium,Mohammed Al Esmaiel,21,2021-02-27T17:15:00+03:00,2020/2021,Match Finished,,,,,,,,
162,657805,Al-Faisaly FC,Al-Ahli Jeddah,2.0,1.0,Al Majma'ah Sports City Stadium,Ahmad Al Rumaikhani,21,2021-02-27T19:30:00+03:00,2020/2021,Match Finished,,,,,,,,
163,657806,Al-Raed,Al-Ain,4.0,0.0,King Abdullah bin Abdulaziz City,Abdullah Al-Shehri,21,2021-02-28T15:00:00+03:00,2020/2021,Match Finished,,,,,,,,
164,657808,Al-Qadisiyah FC,Al-Ittihad FC,1.0,4.0,Prince Mohamed bin Fahd Stadium,Mohammed Alharbi,21,2021-02-28T17:15:00+03:00,2020/2021,Match Finished,,,,,,,,
165,657809,Al-Fateh,Al-Hilal Saudi FC,2.0,5.0,Prince Abdullah bin Jalawi Sports City Stadium,Khaled Salwi,21,2021-02-28T17:20:00+03:00,2020/2021,Match Finished,,,,,,,,
166,657810,Al-Nassr,Abha,2.0,2.0,Mrsool Park,Mohammed Al Hoaish,21,2021-02-28T19:30:00+03:00,2020/2021,Match Finished,,,,,,,,
167,657807,Dhamk,Al Shabab,1.0,2.0,Prince Sultan bin Abdulaziz Sports City Stadium,Turki Al Khudair,21,2021-03-01T15:05:00+03:00,2020/2021,Match Finished,,,,,,,,
168,657811,Al Taawon,Al Baten,2.0,2.0,King Abdullah bin Abdulaziz City,Mohammed Al Beredi,22,2021-03-04T17:45:00+03:00,2020/2021,Match Finished,,,,,,,,
169,657812,Abha,Al-Fateh,2.0,1.0,Prince Sultan bin Abdulaziz Sports City Stadium,Sami Al Jires,22,2021-03-05T15:10:00+03:00,2020/2021,Match Finished,,,,,,,,
170,657813,Al-Ain,Al-Faisaly FC,1.0,1.0,King Saud Sport City Stadium,Shukri Al Hanfosh,22,2021-03-05T15:15:00+03:00,2020/2021,Match Finished,,,,,,,,
171,657814,Al-Ettifaq,Al-Nassr,1.0,1.0,Prince Mohamed bin Fahd Stadium,Majed Al Shamrani,22,2021-03-05T17:20:00+03:00,2020/2021,Match Finished,,,,,,,,
172,657815,Al Shabab,Al-Qadisiyah FC,1.0,1.0,Al-Shabab Club Stadium,Mohammed Al Qarni,22,2021-03-05T17:35:00+03:00,2020/2021,Match Finished,,,,,,,,
173,657816,Al-Hilal Saudi FC,Al-Raed,2.0,1.0,Prince Faisal bin Fahd Stadium,O. Hațegan,22,2021-03-05T19:35:00+03:00,2020/2021,Match Finished,,,,,,,,
174,657817,Al-Ittihad FC,Al Wehda Club,4.0,2.0,King Abdulaziz Sports City Stadium,Ahmad Al Rumaikhani,22,2021-03-05T19:35:00+03:00,2020/2021,Match Finished,,,,,,,,
175,657818,Al-Ahli Jeddah,Dhamk,1.0,3.0,King Abdulaziz Sports City Stadium,Faisal Alblwi,22,2021-03-06T19:35:00+03:00,2020/2021,Match Finished,,,,,,,,
176,657819,Al Baten,Al-Fateh,0.0,2.0,Al-Batin FC Stadium,Raed Al Zahrani,23,2021-03-10T14:50:00+03:00,2020/2021,Match Finished,,,,,,,,
177,657820,Al-Qadisiyah FC,Al-Ain,3.0,3.0,Prince Mohamed bin Fahd Stadium,Khalid Al-Jahly,23,2021-03-10T17:25:00+03:00,2020/2021,Match Finished,,,,,,,,
178,657821,Al Taawon,Abha,1.0,0.0,King Abdullah bin Abdulaziz City,Majed Al Shamrani,23,2021-03-10T17:50:00+03:00,2020/2021,Match Finished,,,,,,,,
179,657822,Al-Faisaly FC,Al-Raed,0.0,1.0,Al Majma'ah Sports City Stadium,Mohammed Al Hoaish,23,2021-03-10T19:15:00+03:00,2020/2021,Match Finished,,,,,,,,
180,657823,Al-Ittihad FC,Al Shabab,2.0,1.0,King Abdulaziz Sports City Stadium,Khaled Salwi,23,2021-03-10T19:45:00+03:00,2020/2021,Match Finished,,,,,,,,
181,657824,Dhamk,Al-Ettifaq,1.0,1.0,Prince Sultan bin Abdulaziz Sports City Stadium,Sultan Al-Harbi,23,2021-03-11T15:10:00+03:00,2020/2021,Match Finished,,,,,,,,
182,657825,Al Wehda Club,Al-Hilal Saudi FC,2.0,4.0,King Abdulaziz Sports City Stadium,Turki Al Khudair,23,2021-03-11T18:05:00+03:00,2020/2021,Match Finished,,,,,,,,
183,657826,Al-Ahli Jeddah,Al-Nassr,1.0,2.0,King Abdullah Sports City Reserve Stadium,Khaled Al Teris,23,2021-03-11T19:45:00+03:00,2020/2021,Match Finished,,,,,,,,
184,657835,Al Wehda Club,Abha,1.0,4.0,King Abdulaziz Sports City Stadium,Khaled Al Teris,25,2021-03-15T18:10:00+03:00,2020/2021,Match Finished,,,,,,,,
185,657833,Al-Raed,Al-Ittihad FC,,,King Abdullah bin Abdulaziz City,,24,2021-03-20T16:15:00+03:00,2020/2021,Not Started,,,,,,,,
186,657827,Al-Ettifaq,Al-Faisaly FC,,,Prince Mohamed bin Fahd Stadium,,24,2021-03-20T18:30:00+03:00,2020/2021,Not Started,,,,,,,,
187,657832,Al-Fateh,Al-Ahli Jeddah,,,Prince Abdullah bin Jalawi Sports City Stadium,,24,2021-03-20T18:30:00+03:00,2020/2021,Not Started,,,,,,,,
188,657828,Al Shabab,Al Taawon,,,Al-Shabab Club Stadium,,24,2021-03-20T18:40:00+03:00,2020/2021,Not Started,,,,,,,,
189,657829,Al-Hilal Saudi FC,Al-Qadisiyah FC,,,Prince Faisal bin Fahd Stadium,,24,2021-03-20T20:45:00+03:00,2020/2021,Not Started,,,,,,,,
190,657834,Al-Nassr,Al Baten,,,Mrsool Park,,24,2021-03-20T20:45:00+03:00,2020/2021,Not Started,,,,,,,,
191,657830,Abha,Dhamk,,,Prince Sultan bin Abdulaziz Sports City Stadium,,24,2021-03-21T16:05:00+03:00,2020/2021,Not Started,,,,,,,,
192,657831,Al-Ain,Al Wehda Club,,,King Saud Sport City Stadium,,24,2021-03-21T16:10:00+03:00,2020/2021,Not Started,,,,,,,,
193,657836,Al-Ahli Jeddah,Al-Raed,,,King Abdullah Sports City,,25,2021-04-08T20:50:00+03:00,2020/2021,Not Started,,,,,,,,
194,657837,Al Taawon,Al-Ain,,,King Abdullah bin Abdulaziz City,,25,2021-04-09T19:00:00+03:00,2020/2021,Not Started,,,,,,,,
195,657838,Dhamk,Al-Nassr,,,Prince Sultan bin Abdulaziz Sports City Stadium,,25,2021-04-09T19:05:00+03:00,2020/2021,Not Started,,,,,,,,
196,657839,Al-Ittihad FC,Al-Hilal Saudi FC,,,King Abdullah Sports City,,25,2021-04-09T20:50:00+03:00,2020/2021,Not Started,,,,,,,,
197,657840,Al Baten,Al Shabab,,,Al-Batin FC Stadium,,25,2021-04-10T18:55:00+03:00,2020/2021,Not Started,,,,,,,,
198,657841,Al-Faisaly FC,Al-Fateh,,,Al Majma'ah Sports City Stadium,,25,2021-04-10T18:55:00+03:00,2020/2021,Not Started,,,,,,,,
199,657842,Al-Ettifaq,Al-Qadisiyah FC,,,Prince Mohamed bin Fahd Stadium,,25,2021-04-10T20:15:00+03:00,2020/2021,Not Started,,,,,,,,
200,657843,Abha,Al-Ain,,,Prince Sultan bin Abdulaziz Sports City Stadium,,26,2021-04-15T21:50:00+03:00,2020/2021,Not Started,,,,,,,,
201,657844,Al Taawon,Al-Ahli Jeddah,,,King Abdullah bin Abdulaziz City,,26,2021-04-15T22:00:00+03:00,2020/2021,Not Started,,,,,,,,
202,657845,Al-Qadisiyah FC,Al-Raed,,,Prince Saud bin Jalawi Stadium,,26,2021-04-16T21:35:00+03:00,2020/2021,Not Started,,,,,,,,
203,657846,Al-Nassr,Al-Faisaly FC,,,King Saud University Stadium,,26,2021-04-16T21:45:00+03:00,2020/2021,Not Started,,,,,,,,
204,657847,Al-Ittihad FC,Al Baten,,,King Abdullah Sports City,,26,2021-04-16T22:10:00+03:00,2020/2021,Not Started,,,,,,,,
205,657848,Al-Fateh,Dhamk,,,Prince Abdullah bin Jalawi Sports City Stadium,,26,2021-04-17T21:35:00+03:00,2020/2021,Not Started,,,,,,,,
206,657849,Al Shabab,Al-Hilal Saudi FC,,,Al-Shabab Club Stadium,,26,2021-04-17T21:45:00+03:00,2020/2021,Not Started,,,,,,,,
207,657850,Al Wehda Club,Al-Ettifaq,,,King Abdulaziz Sports City Stadium,,26,2021-04-17T22:10:00+03:00,2020/2021,Not Started,,,,,,,,
208,657851,Al-Ettifaq,Al Shabab,,,Prince Mohamed bin Fahd Stadium,,27,2021-05-14T18:50:00+03:00,2020/2021,Not Started,,,,,,,,
209,657852,Al-Faisaly FC,Abha,,,Al Majma'ah Sports City Stadium,,27,2021-05-14T19:15:00+03:00,2020/2021,Not Started,,,,,,,,
210,657853,Al-Ain,Al-Nassr,,,King Saud Sport City Stadium,,27,2021-05-14T19:20:00+03:00,2020/2021,Not Started,,,,,,,,
211,657854,Al-Hilal Saudi FC,Al Baten,,,Prince Faisal bin Fahd Stadium,,27,2021-05-14T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
212,657855,Al-Ahli Jeddah,Al-Qadisiyah FC,,,King Abdullah Sports City,,27,2021-05-14T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
213,657856,Al-Fateh,Al Wehda Club,,,Prince Abdullah bin Jalawi Sports City Stadium,,27,2021-05-15T18:55:00+03:00,2020/2021,Not Started,,,,,,,,
214,657857,Al-Raed,Al Taawon,,,King Abdullah bin Abdulaziz City,,27,2021-05-15T19:20:00+03:00,2020/2021,Not Started,,,,,,,,
215,657858,Dhamk,Al-Ittihad FC,,,Prince Sultan bin Abdulaziz Sports City Stadium,,27,2021-05-15T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
216,657859,Al-Qadisiyah FC,Al-Faisaly FC,,,Prince Saud bin Jalawi Stadium,,28,2021-05-19T18:55:00+03:00,2020/2021,Not Started,,,,,,,,
217,657860,Al Shabab,Al-Ain,,,Al-Shabab Club Stadium,,28,2021-05-19T19:10:00+03:00,2020/2021,Not Started,,,,,,,,
218,657861,Al Baten,Al-Ettifaq,,,Al-Batin FC Stadium,,28,2021-05-19T19:20:00+03:00,2020/2021,Not Started,,,,,,,,
219,657862,Al-Hilal Saudi FC,Al-Ahli Jeddah,,,Prince Faisal bin Fahd Stadium,,28,2021-05-19T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
220,657863,Abha,Al-Ittihad FC,,,Prince Sultan bin Abdulaziz Sports City Stadium,,28,2021-05-20T19:15:00+03:00,2020/2021,Not Started,,,,,,,,
221,657864,Al Taawon,Al-Fateh,,,King Abdullah bin Abdulaziz City,,28,2021-05-20T19:25:00+03:00,2020/2021,Not Started,,,,,,,,
222,657865,Al Wehda Club,Dhamk,,,King Abdulaziz Sports City Stadium,,28,2021-05-20T19:30:00+03:00,2020/2021,Not Started,,,,,,,,
223,657866,Al-Nassr,Al-Raed,,,King Saud University Stadium,,28,2021-05-20T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
224,657867,Al-Faisaly FC,Al Shabab,,,Al Majma'ah Sports City Stadium,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
225,657868,Abha,Al-Ahli Jeddah,,,Prince Sultan bin Abdulaziz Sports City Stadium,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
226,657869,Al-Ittihad FC,Al-Ain,,,King Abdullah Sports City,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
227,657870,Al Baten,Dhamk,,,Al-Batin FC Stadium,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
228,657871,Al-Ettifaq,Al-Raed,,,Prince Mohamed bin Fahd Stadium,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
229,657872,Al-Fateh,Al-Qadisiyah FC,,,Prince Abdullah bin Jalawi Sports City Stadium,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
230,657873,Al Wehda Club,Al-Nassr,,,King Abdulaziz Sports City Stadium,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
231,657874,Al Taawon,Al-Hilal Saudi FC,,,King Abdullah bin Abdulaziz City,,29,2021-05-25T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
232,657875,Al-Qadisiyah FC,Abha,,,Prince Saud bin Jalawi Stadium,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
233,657876,Dhamk,Al Taawon,,,Prince Sultan bin Abdulaziz Sports City Stadium,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
234,657877,Al-Ain,Al Baten,,,King Saud Sport City Stadium,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
235,657878,Al-Raed,Al-Fateh,,,King Abdullah bin Abdulaziz City,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
236,657879,Al Shabab,Al Wehda Club,,,Al-Shabab Club Stadium,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
237,657880,Al-Ahli Jeddah,Al-Ettifaq,,,King Abdullah Sports City,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
238,657881,Al-Hilal Saudi FC,Al-Faisaly FC,,,Prince Faisal bin Fahd Stadium,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
239,657882,Al-Nassr,Al-Ittihad FC,,,King Saud University Stadium,,30,2021-05-30T21:00:00+03:00,2020/2021,Not Started,,,,,,,,
