fixture_id,team,formation,coach,players,isHome,rating,opponent,opponent_formation,opponent_coach,opponent_players,opponent_rating,season,date,venue,status,round,goals,pts,opponent_pts,result,last_performance,opponent_last_performance,pts_difference,last_against_performance,opponent_last_against_performance
151839,Al-Nassr,4-2-3-1,Rui Vitória,"[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Ibrahim Ghaleb', 'M'), ('Awdh Faraj', 'D'), ('Sultan Al Ghanam', 'D'), ('N. Amrabat', 'M'), ('A. Hamdallah', 'F')]",1,6.84,Al-Qadisiyah FC,4-4-1-1,I. Petev,"[('J. Duncan', 'G'), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('M. Belkhiter', 'D'), ('Élton', 'M'), ('Shaya Ali Sharahli', 'M'), ('M. Fatau', 'M'), ('Naif Hazazi', None), ('Mansour Al-Najar', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]",6.64,2018/2019,2019-02-06 19:15:00,Prince Faisal bin Fahd Stadium,Match Finished,19,3.0,37,37,Win,6.53,7.01,0,7.41,6.31
151839,Al-Qadisiyah FC,4-4-1-1,I. Petev,"[('J. Duncan', 'G'), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('M. Belkhiter', 'D'), ('Élton', 'M'), ('Shaya Ali Sharahli', 'M'), ('M. Fatau', 'M'), ('Naif Hazazi', None), ('Mansour Al-Najar', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]",0,6.64,Al-Nassr,4-2-3-1,Rui Vitória,"[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Ibrahim Ghaleb', 'M'), ('Awdh Faraj', 'D'), ('Sultan Al Ghanam', 'D'), ('N. Amrabat', 'M'), ('A. Hamdallah', 'F')]",6.84,2018/2019,2019-02-06 19:15:00,Prince Faisal bin Fahd Stadium,Match Finished,19,1.0,23,37,Defeat,7.01,6.53,-14,6.31,7.41
151840,Ohod,4-2-3-1,A. Souayah,"[('I. Nesterov', 'G'), ('C. Medjani', 'D'), ('A. Teikeu', 'D'), ('Majed Hazazi', 'D'), ('Sami Kassar', 'D'), ('Omar Mohammead', 'D'), ('Tamer Haj Mohamad', 'M'), ('M. Fouzair', 'M'), ('Mohmad Atiah', 'M'), ('Ahmed Gomaa', 'F'), ('Mohameed Eldaw', 'M')]",1,6.87,Al-Faisaly FC,4-2-3-1,Péricles Chamusca,"[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Luisinho', 'M'), ('Yazeed Al Bakr', 'D'), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('D. Calderón', 'F'), ('Denílson', 'F')]",6.41,2018/2019,2019-02-07 17:50:00,Prince Mohammed bin Abdul Aziz Stadium,Match Finished,19,4.0,9,9,Win,6.76,6.77,0,6.9,7.06
151840,Al-Faisaly FC,4-2-3-1,Péricles Chamusca,"[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Luisinho', 'M'), ('Yazeed Al Bakr', 'D'), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('D. Calderón', 'F'), ('Denílson', 'F')]",0,6.41,Ohod,4-2-3-1,A. Souayah,"[('I. Nesterov', 'G'), ('C. Medjani', 'D'), ('A. Teikeu', 'D'), ('Majed Hazazi', 'D'), ('Sami Kassar', 'D'), ('Omar Mohammead', 'D'), ('Tamer Haj Mohamad', 'M'), ('M. Fouzair', 'M'), ('Mohmad Atiah', 'M'), ('Ahmed Gomaa', 'F'), ('Mohameed Eldaw', 'M')]",6.87,2018/2019,2019-02-07 17:50:00,Prince Mohammed bin Abdul Aziz Stadium,Match Finished,19,1.0,24,9,Defeat,6.77,6.76,15,7.06,6.9
151841,Al-Hazm,4-2-3-1,D. Isăilă,"[('M. Asselah', 'G'), ('Z. Tsiskaridze', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('Muralha', 'M'), ('Mohammed Harzan', None), ('Masood Bekheet', 'D'), ('Osama Al Khalaf', 'M'), ('J. Pajoy', 'F'), ('Mohammed Al Saiari', 'F'), ('Faris Al Alayaf', 'M')]",1,6.49,Al-Ahli Jeddah,4-2-2-2,Youssef Anbar,"[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('P. Díaz', 'D'), ('Abdullah Tarmin', 'D'), ('C. Baeza', 'M'), ('Abdulfattah Asiri', 'M'), ('Nouh Al Mousa', 'M'), ('Salman Al Moasher', 'M'), ('Djaniny', 'F'), ('Omar Al Somah', 'F')]",6.92,2018/2019,2019-02-07 19:15:00,Al Hazm Club Stadium,Match Finished,19,2.0,19,19,Defeat,6.81,7.22,0,6.69,7.24
151841,Al-Ahli Jeddah,4-2-2-2,Youssef Anbar,"[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('P. Díaz', 'D'), ('Abdullah Tarmin', 'D'), ('C. Baeza', 'M'), ('Abdulfattah Asiri', 'M'), ('Nouh Al Mousa', 'M'), ('Salman Al Moasher', 'M'), ('Djaniny', 'F'), ('Omar Al Somah', 'F')]",0,6.92,Al-Hazm,4-2-3-1,D. Isăilă,"[('M. Asselah', 'G'), ('Z. Tsiskaridze', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('Muralha', 'M'), ('Mohammed Harzan', None), ('Masood Bekheet', 'D'), ('Osama Al Khalaf', 'M'), ('J. Pajoy', 'F'), ('Mohammed Al Saiari', 'F'), ('Faris Al Alayaf', 'M')]",6.49,2018/2019,2019-02-07 19:15:00,Al Hazm Club Stadium,Match Finished,19,4.0,33,19,Win,7.22,6.81,14,7.24,6.69
151842,Al-Fayha,4-1-4-1,N. Zekri,"[(""Amer Shafi'"", None), ('Nawaf Al Sabhi', None), ('R. Bedoui', 'D'), ('Sami Al Khaibari', None), ('A. Tziolis', 'M'), ('Tawfiq Buhumaid', 'D'), ('Abdulrahman Al Barakah', 'M'), ('Hassen Jaaferi', 'M'), ('Abdulkarim Al Qahtani', 'M'), ('Daifallah Al Qarni', None), ('A. Chermiti', None)]",1,6.76,Al-Ettifaq,4-4-2,Sergio Piernas,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Abdullah Al Hafith', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('Saeed Al Rubaie', 'D'), ('F. Kiss', 'M'), ('C. Guanca', 'M'), ('F. Ben Youssef', 'F'), ('Mohammed Al Kuwaykibi', 'M'), ('Hazzaa Al Hazzaa', 'F')]",6.84,2018/2019,2019-02-08 14:45:00,Prince Salman Bin Abdulaziz Sport City Stadium,Match Finished,19,1.0,15,15,Draw,6.58,6.81,0,6.51,7.25
151842,Al-Ettifaq,4-4-2,Sergio Piernas,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Abdullah Al Hafith', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('Saeed Al Rubaie', 'D'), ('F. Kiss', 'M'), ('C. Guanca', 'M'), ('F. Ben Youssef', 'F'), ('Mohammed Al Kuwaykibi', 'M'), ('Hazzaa Al Hazzaa', 'F')]",0,6.84,Al-Fayha,4-1-4-1,N. Zekri,"[(""Amer Shafi'"", None), ('Nawaf Al Sabhi', None), ('R. Bedoui', 'D'), ('Sami Al Khaibari', None), ('A. Tziolis', 'M'), ('Tawfiq Buhumaid', 'D'), ('Abdulrahman Al Barakah', 'M'), ('Hassen Jaaferi', 'M'), ('Abdulkarim Al Qahtani', 'M'), ('Daifallah Al Qarni', None), ('A. Chermiti', None)]",6.76,2018/2019,2019-02-08 14:45:00,Prince Salman Bin Abdulaziz Sport City Stadium,Match Finished,19,1.0,26,15,Draw,6.81,6.58,11,7.25,6.51
151843,Al Baten,4-2-3-1,Yousef Alghadeer,"[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Soltan Ghneman', 'D'), ('Bandar Al Mutairi', 'D'), ('O. Malik', 'M'), ('Baraka', 'M'), ('Rayed Al Ghamdi', 'F'), ('Z. Ounalli', None), ('Mhana Al Enazi', 'D'), ('Jhonnattann', 'M'), ('Crysan', 'M')]",1,6.51,Al-Hilal Saudi FC,4-2-3-1,Z. Mamić,"[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('M. Degenek', 'D'), ('Hasan Kadesh', 'D'), ('Carlos Eduardo', 'M'), ('A. Carrillo', 'M'), ('Nawaf Al Abid', 'M'), ('Abdullah Otayf', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]",6.89,2018/2019,2019-02-08 19:15:00,Al-Batin Club Stadium,Match Finished,19,2.0,18,18,Defeat,6.71,7.14,0,6.43,7.17
151843,Al-Hilal Saudi FC,4-2-3-1,Z. Mamić,"[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('M. Degenek', 'D'), ('Hasan Kadesh', 'D'), ('Carlos Eduardo', 'M'), ('A. Carrillo', 'M'), ('Nawaf Al Abid', 'M'), ('Abdullah Otayf', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]",0,6.89,Al Baten,4-2-3-1,Yousef Alghadeer,"[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Soltan Ghneman', 'D'), ('Bandar Al Mutairi', 'D'), ('O. Malik', 'M'), ('Baraka', 'M'), ('Rayed Al Ghamdi', 'F'), ('Z. Ounalli', None), ('Mhana Al Enazi', 'D'), ('Jhonnattann', 'M'), ('Crysan', 'M')]",6.51,2018/2019,2019-02-08 19:15:00,Al-Batin Club Stadium,Match Finished,19,3.0,43,18,Win,7.14,6.71,25,7.17,6.43
151844,Al-Raed,4-2-3-1,B. Hasi,"[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('Abdullah Al Shamekh', 'D'), ('Muteb Al-Mutlaq', 'D'), ('Mohamed Atwa', 'D'), ('A. Hammoudan', 'M'), ('Kanu', 'M'), ('Sultan Farhan', 'M'), ('Abdullah Almogren', 'M'), ('I. Mboyo', 'F'), ('F. Hasani', 'M')]",1,6.49,Al Wehda Club,3-4-1-2,Mido,"[('Mohamed Awad', 'G'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Z. Mebarakou', None), ('Abdulelah Al Amri', 'D'), ('Anselmo', 'M'), ('R. Otero', 'M'), ('Marcos Guilherme', 'M'), ('Fawaz Al Sagourq', 'M'), ('Abdulelah Al Malki', 'M'), ('I. Jebali', 'F')]",7.01,2018/2019,2019-02-09 14:50:00,King Abdullah Sport City Stadium,Match Finished,19,1.0,23,23,Defeat,6.82,6.48,0,6.27,7.15
151844,Al Wehda Club,3-4-1-2,Mido,"[('Mohamed Awad', 'G'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Z. Mebarakou', None), ('Abdulelah Al Amri', 'D'), ('Anselmo', 'M'), ('R. Otero', 'M'), ('Marcos Guilherme', 'M'), ('Fawaz Al Sagourq', 'M'), ('Abdulelah Al Malki', 'M'), ('I. Jebali', 'F')]",0,7.01,Al-Raed,4-2-3-1,B. Hasi,"[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('Abdullah Al Shamekh', 'D'), ('Muteb Al-Mutlaq', 'D'), ('Mohamed Atwa', 'D'), ('A. Hammoudan', 'M'), ('Kanu', 'M'), ('Sultan Farhan', 'M'), ('Abdullah Almogren', 'M'), ('I. Mboyo', 'F'), ('F. Hasani', 'M')]",6.49,2018/2019,2019-02-09 14:50:00,King Abdullah Sport City Stadium,Match Finished,19,3.0,28,23,Win,6.48,6.82,5,7.15,6.27
151845,Al-Fateh,4-4-2,F. Al Jabal,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Yassen Hamza', 'D'), ('Abdullah Al Yousif', 'D'), ('Mohammed Alfehaid', 'M'), ('I. Chenihi', 'M'), ('N. Korzun', 'M'), ('Mohammed Al Majhad', 'M'), ('Ali Al Hassan', 'M'), ('S. Jovanović', 'M'), ('Mansour Hamzi', 'M')]",1,6.99,Al Shabab,5-4-1,M. Şumudică,"[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('Hassan Muath Fallatah', 'D'), ('D. Benlamri', 'D'), ('Saleh Al Qumayzi', 'D'), ('M. Boussoufa', 'M'), ('Luiz Antônio', 'M'), ('Abdulmalek Al Shammary', 'M'), ('Waleed Hizam', 'M'), ('C. Budescu', 'F'), ('Sebá', 'F')]",6.66,2018/2019,2019-02-09 17:10:00,Prince Abdullah bin Jalawi Stadium,Match Finished,19,1.0,22,22,Win,6.43,6.93,0,7.03,7.03
151845,Al Shabab,5-4-1,M. Şumudică,"[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('Hassan Muath Fallatah', 'D'), ('D. Benlamri', 'D'), ('Saleh Al Qumayzi', 'D'), ('M. Boussoufa', 'M'), ('Luiz Antônio', 'M'), ('Abdulmalek Al Shammary', 'M'), ('Waleed Hizam', 'M'), ('C. Budescu', 'F'), ('Sebá', 'F')]",0,6.66,Al-Fateh,4-4-2,F. Al Jabal,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Yassen Hamza', 'D'), ('Abdullah Al Yousif', 'D'), ('Mohammed Alfehaid', 'M'), ('I. Chenihi', 'M'), ('N. Korzun', 'M'), ('Mohammed Al Majhad', 'M'), ('Ali Al Hassan', 'M'), ('S. Jovanović', 'M'), ('Mansour Hamzi', 'M')]",6.99,2018/2019,2019-02-09 17:10:00,Prince Abdullah bin Jalawi Stadium,Match Finished,19,0.0,34,22,Defeat,6.93,6.43,12,7.03,7.03
