,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status,H_avg_ratings,A_avg_ratings
93,151790,Al-Raed,Al-Ahli Jeddah,0,0,King Abdullah Sport City Stadium,"Svein Oddvar Moen, Norway",2018-12-08T16:50:00+03:00,2018/2019,B. Hasi,P. Guede,4-2-3-1,4-3-1-2,"[('A. Doukha', 'G'), ('H. Belkaroui', 'D'), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('Mohamed Atwa', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Yahya Ateen', 'M'), ('Sultan Farhan', 'M'), ('Ismaël Bangoura', 'F'), ('F. Hasani', 'M')]","[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Abdulrahman Ghareeb', 'F'), ('Omar Al Somah', 'F')]",12,Match Finished,6.82,7.14
94,151782,Ohod,Al-Hilal Saudi FC,0,1,Prince Mohammed bin Abdul Aziz Stadium,"Svein Oddvar Moen, Norway",2018-12-12T17:20:00+03:00,2018/2019,Paulo Alves,Jorge Jesus,4-2-3-1,4-4-2,"[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Osama Ashoor', 'D'), ('Sami Kassar', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Islam Seraj', 'F'), ('Mohmad Atiah', 'M')]","[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Hasan Kadesh', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Carlos Eduardo', 'M'), ('Salem Al Dawsari', 'M'), ('Abdullah Otayf', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F'), ('G. Rivas', 'F')]",11,Match Finished,6.95,6.95
95,151791,Al-Ettifaq,Al Wehda Club,2,1,Prince Saud bin Jalawi Stadium,"Mark Clattenburg, England",2018-12-13T16:30:00+03:00,2018/2019,Sergio Piernas,Fábio Carille,4-4-2,4-2-3-1,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Ali Al Khaibari', None), ('Ali Abdullah Hazzazi', 'M'), ('B. Alemán', 'M'), ('Omar Al Senien', 'D'), ('Ibrahim Mahnashi', 'M'), ('C. Guanca', 'M'), ('F. Ben Youssef', 'F'), ('Mohammed Al Kuwaykibi', 'M')]","[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Taisir Al Jassim', 'M'), ('Waleed Bakshween', 'M'), ('E. Çolak', 'M'), ('R. Otero', 'M'), ('Marcos Guilherme', 'M'), ('Fawaz Al Sagourq', 'M'), ('A. Jaber', 'F')]",13,Match Finished,6.94,6.74
96,151792,Al-Fateh,Al-Faisaly FC,1,1,Prince Abdullah bin Jalawi Stadium,"Szymon Marciniak, Poland",2018-12-13T16:30:00+03:00,2018/2019,F. Al Jabal,Péricles Chamusca,4-2-3-1,4-2-3-1,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Abdullah Al Ammar', 'D'), ('Hamad Al Juhaim', 'F'), ('Mansour Hamzi', 'M'), ('Alkhali Bangoura', 'M')]","[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Luisinho', 'M'), ('Yazeed Al Bakr', 'D'), ('Husain Al Monassar', 'M'), ('Hamdan Al Shamrani', 'D'), ('J. Akpala', 'F'), ('Rogerinho', 'M')]",13,Match Finished,6.81,6.79
97,151793,Al-Nassr,Al-Raed,4,0,Prince Faisal bin Fahd Stadium,"Ovidiu Hategan, Romania",2018-12-14T14:05:00+03:00,2018/2019,Hélder Cristóvão,B. Hasi,4-2-3-1,4-3-2-1,"[('Waleed Abdullah', 'G'), ('C. Ramos', 'D'), ('Bruno Uvini', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('N. Amrabat', 'M'), ('A. Musa', 'F'), ('A. Hamdallah', 'F')]","[('A. Doukha', 'G'), ('H. Belkaroui', 'D'), ('Mohammed Al Amri', None), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('Mohamed Atwa', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Farhan', 'M'), ('Ismaël Bangoura', 'F'), ('F. Hasani', 'M')]",13,Match Finished,7.45,6.47
98,151794,Al Taawon,Al-Fayha,3,0,King Abdullah Sport City Stadium,"Svein Oddvar Moen, Norway",2018-12-14T14:15:00+03:00,2018/2019,Pedro Emanuel,S. Muslin,4-2-3-1,5-4-1,"[('Cássio', None), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Hamdan Al Ruwaili', 'D'), ('Jehad Al Hussain', 'M'), ('Sandro Manoel', 'M'), ('Rabeaa Sefiani', 'M'), ('Héldon', 'M'), ('C. Amissi', 'M'), ('L. Tawamba Kana', 'F')]","[('C. Bonilla', 'G'), ('Gêgê', 'D'), ('Sami Al Khaibari', None), ('Omar Hamad Al Aowda', 'D'), ('A. Tziolis', 'M'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Hassen Jaaferi', 'M'), ('Abdulkarim Al Qahtani', 'M'), ('Daifallah Al Qarni', None), ('R. Fernández', 'F')]",13,Match Finished,7.11,6.54
99,151795,Al Baten,Al-Ittihad FC,1,3,Al-Batin Club Stadium,"Alan Kelly, Ireland",2018-12-14T16:45:00+03:00,2018/2019,Yousef Alghadeer,S. Bilić,4-2-3-1,4-2-3-1,"[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Soltan Ghneman', 'D'), ('Bandar Al Mutairi', 'D'), ('Baraka', 'M'), ('Rayed Al Ghamdi', 'F'), ('Jedaan Al Shemmari', 'M'), ('Mhana Al Enazi', 'D'), ('Fahad Al Johani', 'M'), ('Crysan', 'M'), ('Mohammed Al-Dhafiri', '-')]","[('Fawaz Al Qarni', 'G'), ('M. Jurman', 'D'), ('Mansour Al Harbi', 'D'), ('Ammar Al Daheem', 'D'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jamal Ba Jandooh', 'M'), ('Omar Al-Mazial', None), ('Khaled Al Samiri', None), ('Fahad Al Muwallad', 'F'), ('Abdulrahman Al Ghamdi', 'M')]",13,Match Finished,6.57,7.02
100,151796,Al-Hilal Saudi FC,Al-Hazm,1,2,King Saud University Stadium,"Milorad Mazic, Serbia",2018-12-15T14:05:00+03:00,2018/2019,Jorge Jesus,D. Isăilă,4-4-2,4-3-3,"[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Hasan Kadesh', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Carlos Eduardo', 'M'), ('Salem Al Dawsari', 'M'), ('Mohammed Kanoo', 'M'), ('Ahmed Al-Fiqi', None), ('B. Gomis', 'F'), ('G. Rivas', 'F')]","[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('Ismael Musallami', 'M'), ('Mohammed Al Saiari', 'F'), ('Faris Al Alayaf', 'M')]",13,Match Finished,6.85,6.91
101,151797,Al-Ahli Jeddah,Al Shabab,0,1,King Abdullah Sports City,"Szymon Marciniak, Poland",2018-12-15T17:25:00+03:00,2018/2019,P. Guede,M. Şumudică,4-2-3-1,3-4-2-1,"[('Mohammed Al Owais', 'G'), ('Alexis', 'D'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Nouh Al mousa', 'M'), ('Mohanad Aseri', 'F')]","[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Fahad Zahim', 'D'), ('Somália', 'M'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdulmajeed Al Sulaiheem', 'M'), ('Nasser Al Shamrani', 'F'), ('Khalid Al Kabi', 'M')]",13,Match Finished,6.83,7.04
102,151798,Ohod,Al-Qadisiyah FC,1,3,Prince Mohammed bin Abdul Aziz Stadium,"Mark Clattenburg, England",2018-12-17T17:20:00+03:00,2018/2019,Paulo Alves,I. Petev,4-2-3-1,4-2-3-1,"[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Osama Ashoor', 'D'), ('Sami Kassar', 'D'), ('Omar Mohammead', 'D'), ('Zeyad Al Hunayti', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Islam Seraj', 'F')]","[('J. Duncan', 'G'), ('Adnan Falatah', None), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Élton', 'M'), ('Shaya Ali Sharahli', 'M'), ('Yago', 'M'), ('Ahmed Zain', 'M'), ('N. Hervé', 'M'), ('A. Oumarou', 'F'), ('Bismark', 'M')]",13,Match Finished,6.64,6.92
103,151799,Al-Raed,Al-Hazm,1,0,King Abdullah Sport City Stadium,"Artur Soares Dias, Portugal",2018-12-20T14:20:00+03:00,2018/2019,B. Hasi,D. Isăilă,4-2-3-1,4-2-3-1,"[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('H. Belkaroui', 'D'), ('Abdullah Al Shamekh', 'D'), ('Muteb Al-Mutlaq', 'D'), ('Mohamed Atwa', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Y. El Ghanassy', 'M'), ('F. Hasani', 'M'), ('Saleh Al Shehri', None)]","[('M. Asselah', 'G'), ('Alemão', 'D'), ('Abdulrahman Al Rio', 'D'), ('Khaled Al Barakah', 'D'), ('C. Feraud', 'M'), ('Muralha', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('J. Pajoy', 'F'), ('Mohammed Al Saiari', 'F'), ('Faris Al Alayaf', 'M')]",14,Match Finished,7.02,6.71
104,151800,Al-Faisaly FC,Al Wehda Club,3,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Pavel Kralovec, Czech Republic",2018-12-20T16:50:00+03:00,2018/2019,Péricles Chamusca,Mido,4-2-3-1,4-3-3,"[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Igor Rossi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Luisinho', 'M'), ('Yazeed Al Bakr', 'D'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('D. Calderón', 'F')]","[('Mohamed Awad', 'G'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Abdulelah Al Amri', 'D'), ('Taisir Al Jassim', 'M'), ('Waleed Bakshween', 'M'), ('R. Otero', 'M'), ('Marcos Guilherme', 'M'), ('Fawaz Al Sagourq', 'M'), ('Ali Al-Nemer', 'M'), ('A. Jaber', 'F')]",14,Match Finished,7.27,6.65
105,151801,Al Shabab,Al Baten,4,0,Prince Faisal bin Fahd Stadium,"Mark Clattenburg, England",2018-12-21T14:10:00+03:00,2018/2019,M. Şumudică,Yousef Alghadeer,3-4-2-1,4-2-3-1,"[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Fahad Zahim', 'D'), ('Somália', 'M'), ('Luiz Antônio', 'M'), ('Abdullah Alkhaibari', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]","[('Adriano Facchini', 'G'), ('Sultan Msarhi', None), ('Soltan Ghneman', 'D'), ('Bandar Al Mutairi', 'D'), ('Baraka', 'M'), ('Rayed Al Ghamdi', 'F'), ('Jedaan Al Shemmari', 'M'), ('Mhana Al Enazi', 'D'), ('Fahad Al Johani', 'M'), ('Crysan', 'M'), ('Mohammed Al-Dhafiri', '-')]",14,Match Finished,7.5,6.31
106,151802,Al-Hilal Saudi FC,Al-Ahli Jeddah,4,3,King Saud University Stadium,"Clement Turpin, France",2018-12-21T14:10:00+03:00,2018/2019,Jorge Jesus,P. Guede,4-3-3,4-2-3-1,"[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Carlos Eduardo', 'M'), ('A. Carrillo', 'M'), ('Salem Al Dawsari', 'M'), ('Abdullah Otayf', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]","[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Nouh Al mousa', 'M'), ('Omar Al Somah', 'F')]",14,Match Finished,6.84,6.29
107,151803,Al-Fateh,Al-Ettifaq,0,0,Prince Abdullah bin Jalawi Stadium,"Hugo Miguel, Portugal",2018-12-21T16:30:00+03:00,2018/2019,F. Al Jabal,Sergio Piernas,4-2-3-1,4-4-2,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Ali Alawjami', None), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('Ahmed Al Nazera', 'M'), ('I. Chenihi', 'M'), ('Abdullah Al Ammar', 'D'), ('Mohammed Al Majhad', 'M'), ('Hamad Al Juhaim', 'F'), ('Mansour Hamzi', 'M')]","[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Ali Al Khaibari', None), ('Ali Abdullah Hazzazi', 'M'), ('B. Alemán', 'M'), ('Omar Al Senien', 'D'), ('Ibrahim Mahnashi', 'M'), ('C. Guanca', 'M'), ('F. Ben Youssef', 'F'), ('Mohammed Al Kuwaykibi', 'M')]",14,Match Finished,6.91,6.87
108,151804,Al-Qadisiyah FC,Al Taawon,3,1,Prince Saud bin Jalawi Stadium,"Anastasios Sidiropoulos, Greece",2018-12-21T16:30:00+03:00,2018/2019,I. Petev,Pedro Emanuel,4-2-3-1,4-2-3-1,"[('J. Duncan', 'G'), ('Adnan Falatah', None), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Élton', 'M'), ('Shaya Ali Sharahli', 'M'), ('Yago', 'M'), ('Ahmed Zain', 'M'), ('N. Hervé', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]","[('Cássio', None), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Jehad Al Hussain', 'M'), ('Sandro Manoel', 'M'), ('Madallah Alolayan', 'D'), ('Rabeaa Sefiani', 'M'), ('Héldon', 'M'), ('C. Amissi', 'M'), ('L. Tawamba Kana', 'F')]",14,Match Finished,7.11,6.78
