,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players
20,151715,Al-Ettifaq,Al-Fayha,3,0,Prince Mohamed Bin Fahd Stadium,P. Kralovec,2018-09-21T18:15:00+03:00,2018/2019,L. Ramos,G. Costas,4-2-3-1,4-4-2,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Ahmad Al Hbeab', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('F. Kiss', 'M'), ('B. Alemán', 'M'), ('Mohammed Alsubaie', 'M'), ('C. Guanca', 'M'), ('Abdulaziz Majrashi', None), ('F. Ben Youssef', 'F')]","[('C. Bonilla', 'G'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Sami Al Khaibari', None), ('A. Tziolis', 'M'), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Daifallah Al Qarni', None), ('R. Fernández', 'F'), ('J. Ruiz', 'M')]"
21,151716,Al-Faisaly FC,Ohod,2,0,Prince Salman Bin Abdulaziz Sport City Stadium,K. Blom,2018-09-21T18:35:00+03:00,2018/2019,M. Rednic,F. Arce,4-2-3-1,4-2-3-1,"[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('Mohammed Majrashi', 'F'), ('Abdullah Al Hawsawi', 'M'), ('D. Calderón', 'F')]","[('Z. Laaroubi', 'G'), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Osama Ashoor', 'D'), ('Sami Kassar', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Motaz Tombakti', 'M'), ('Naif Hazazi', 'F'), ('Ribamar', 'F')]"
22,151717,Al-Ahli Jeddah,Al-Hazm,2,0,King Abdullah Sports City,,2018-09-21T20:35:00+03:00,2018/2019,P. Guede,D. Isăilă,4-3-3,4-4-2,"[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Abdulfattah Asiri', 'M'), ('Omar Al Somah', 'F')]","[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('Ismael Musallami', 'M'), ('J. Pajoy', 'F'), ('G. Álvarez', 'F')]"
23,151718,Al Wehda Club,Al-Raed,4,1,King Abdul Aziz Stadium,M. Clattenburg,2018-09-22T19:00:00+03:00,2018/2019,Fábio Carille,B. Hasi,4-2-3-1,4-2-3-1,"[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('R. Otero', 'M'), ('Faisal Darwish', 'D'), ('Marcos Guilherme', 'M'), ('Fernandão', 'F')]","[('A. Doukha', 'G'), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('Mohamed Atwa', 'D'), ('Mohammed Al-Shoraimi', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Sultan Farhan', 'M'), ('Y. El Ghanassy', 'M'), ('F. Hasani', 'M')]"
24,151719,Al-Fateh,Al-Hilal Saudi FC,2,3,Prince Abdullah bin Jalawi Stadium,P. Valeri,2018-09-24T18:10:00+03:00,2018/2019,F. Al Jabal,Jorge Jesus,4-2-3-1,4-3-3,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Abdullah Al Ammar', 'D'), ('Hamad Al Juhaim', 'F'), ('Mansour Hamzi', 'M')]","[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Hasan Kadesh', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Omar Abdulrahman', 'M'), ('Carlos Eduardo', 'M'), ('Salman Al Faraj', 'M'), ('Salem Al Dawsari', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]"
25,151720,Al-Nassr,Al Taawon,1,0,Prince Faisal bin Fahd Stadium,D. Skomina,2018-09-24T20:10:00+03:00,2018/2019,D. Carreño,Pedro Emanuel,4-2-3-1,4-3-3,"[('B. Jones', 'G'), ('C. Ramos', 'D'), ('Bruno Uvini', 'D'), ('Giuliano', 'M'), ('Ibrahim Ghaleb', 'M'), ('Awdh Faraj', 'D'), ('Abdulaziz Al Jebreen', 'M'), ('Sultan Al Ghanam', 'D'), ('N. Amrabat', 'M'), ('A. Musa', 'F'), ('A. Hamdallah', 'F')]","[('Cássio', None), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Jehad Al Hussain', 'M'), ('Sandro Manoel', 'M'), ('Saeed Al Dosari', 'M'), ('Madallah Alolayan', 'D'), ('Héldon', 'M'), ('C. Amissi', 'M'), ('L. Tawamba Kana', 'F')]"
26,151721,Al-Ittihad FC,Al Wehda Club,2,2,King Abdullah Sports City,C. Çakιr,2018-09-26T20:35:00+03:00,2018/2019,Bandar Basryh,Fábio Carille,4-2-3-1,4-2-3-1,"[('Assaf Al Qarni', 'G'), ('M. Jurman', 'D'), ('Mansour Al Harbi', 'D'), ('Ziyad Al Sahafi', 'D'), ('Tariq Mohammed', 'M'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jamal Ba Jandooh', 'M'), ('Khaled Al Samiri', None), ('Abdulrahman Al Ghamdi', 'M')]","[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('R. Otero', 'M'), ('Faisal Darwish', 'D'), ('Marcos Guilherme', 'M'), ('Fernandão', 'F')]"
27,151722,Al-Ettifaq,Ohod,0,0,Prince Mohamed Bin Fahd Stadium,,2018-09-27T18:10:00+03:00,2018/2019,L. Ramos,F. Arce,4-2-3-1,4-4-2,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Ahmad Al Hbeab', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('Khalifa Al-Masrahi', 'D'), ('F. Kiss', 'M'), ('B. Alemán', 'M'), ('Mohammed Alsubaie', 'M'), ('C. Guanca', 'M'), ('Abdulaziz Majrashi', None), ('F. Ben Youssef', 'F')]","[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('Sami Kassar', 'D'), ('Omar Mohammead', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Bruno Michel', 'M'), ('Ribamar', 'F'), ('H. Eissa', 'F')]"
28,151723,Al-Hazm,Al-Faisaly FC,2,1,Al Hazm Club Stadium,D. Skomina,2018-09-27T18:35:00+03:00,2018/2019,D. Isăilă,M. Rednic,4-2-3-1,4-2-3-1,"[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('C. Feraud', 'M'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('J. Pajoy', 'F'), ('Mohammed Al Saiari', 'F')]","[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('Mohammed Majrashi', 'F'), ('D. Calderón', 'F')]"
29,151724,Al-Fayha,Al-Qadisiyah FC,4,2,Prince Salman Bin Abdulaziz Sport City Stadium,S. Marciniak,2018-09-28T18:30:00+03:00,2018/2019,G. Costas,A. Stanojević,4-4-2,4-4-2,"[('C. Bonilla', 'G'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Ahmed Bamsaud', None), ('Omar Hamad Al Aowda', 'D'), ('A. Tziolis', 'M'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Abdullah Al Salem', None), ('R. Fernández', 'F'), ('J. Ruiz', 'M')]","[('J. Duncan', 'G'), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Ibrahim Al Shuayl', 'D'), ('Élton', 'M'), ('Yago', 'M'), ('Hassan Alamiri', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M')]"
30,151725,Al-Raed,Al Shabab,1,1,King Abdullah Sport City Stadium,S. Evans,2018-09-28T18:35:00+03:00,2018/2019,,,,,,
31,151726,Al-Ahli Jeddah,Al Baten,2,0,Al-Batin Club Stadium,,2018-09-29T20:35:00+03:00,2018/2019,,,,,,
32,151727,Al-Fateh,Al-Ittihad FC,2,0,Prince Abdullah bin Jalawi Stadium,S. Evans,2018-10-04T18:05:00+03:00,2018/2019,,,,,,
33,151728,Al-Fayha,Al-Raed,0,3,Prince Salman Bin Abdulaziz Sport City Stadium,S. Marciniak,2018-10-04T18:20:00+03:00,2018/2019,,,,,,
34,151729,Al Taawon,Al Shabab,1,1,King Abdullah Sport City Stadium,D. Skomina,2018-10-05T18:25:00+03:00,2018/2019,,,,,,
35,151730,Ohod,Al Baten,0,1,Prince Mohammed bin Abdul Aziz Stadium,T. Musial,2018-10-05T18:45:00+03:00,2018/2019,,,,,,
36,151731,Al-Ahli Jeddah,Al-Faisaly FC,2,0,King Abdullah Sports City,P. van Boekel,2018-10-05T18:50:00+03:00,2018/2019,,,,,,
37,151732,Al-Nassr,Al-Hazm,5,1,Prince Faisal bin Fahd Stadium,M. Clattenburg,2018-10-05T20:40:00+03:00,2018/2019,,,,,,
38,151733,Al-Qadisiyah FC,Al Wehda Club,0,1,Prince Saud bin Jalawi Stadium,P. Kralovec,2018-10-06T18:05:00+03:00,2018/2019,,,,,,
39,151735,Al-Hazm,Al-Qadisiyah FC,2,1,Al Hazm Club Stadium,"Artur Soares Dias, Portugal",2018-10-18T18:15:00+03:00,2018/2019,,,,,,
40,151736,Al Wehda Club,Al-Fayha,2,1,King Abdul Aziz Stadium,"Danny Desmond Makkelie, Netherlands",2018-10-18T18:35:00+03:00,2018/2019,,,,,,
41,151737,Al Baten,Al-Nassr,0,2,Al-Batin Club Stadium,"Szymon Marciniak, Poland",2018-10-19T18:10:00+03:00,2018/2019,,,,,,
42,151738,Al-Faisaly FC,Al Taawon,1,4,Prince Salman Bin Abdulaziz Sport City Stadium,"Simon Lee Evans, Wales",2018-10-19T18:10:00+03:00,2018/2019,,,,,,
43,151739,Al-Raed,Al-Fateh,0,3,King Abdullah Sport City Stadium,"Mark Clattenburg, England",2018-10-19T18:15:00+03:00,2018/2019,,,,,,
44,151740,Al-Ittihad FC,Ohod,1,1,King Abdullah Sports City,"Viktor Kassai, Hungary",2018-10-19T20:00:00+03:00,2018/2019,,,,,,
45,151741,Al-Ettifaq,Al-Ahli Jeddah,6,2,Prince Mohamed Bin Fahd Stadium,"Pawel Gil, Poland",2018-10-20T17:50:00+03:00,2018/2019,,,,,,
46,151742,Al Shabab,Al-Hilal Saudi FC,0,1,Prince Faisal bin Fahd Stadium,"Danny Desmond Makkelie, Netherlands",2018-10-20T19:45:00+03:00,2018/2019,,,,,,
47,151743,Al-Faisaly FC,Al-Raed,2,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Szymon Marciniak, Poland",2018-10-24T18:05:00+03:00,2018/2019,,,,,,
48,151744,Al-Ettifaq,Al-Hazm,1,0,Prince Mohamed Bin Fahd Stadium,"Tiago Martins, Portugal",2018-10-25T17:40:00+03:00,2018/2019,,,,,,
49,151745,Al-Ahli Jeddah,Al-Fateh,5,1,King Abdullah Sports City,"Svein Oddvar Moen, Norway",2018-10-25T18:30:00+03:00,2018/2019,,,,,,
50,151746,Al-Hilal Saudi FC,Al-Ittihad FC,3,1,King Saud University Stadium,"Viktor Kassai, Hungary",2018-10-25T20:30:00+03:00,2018/2019,,,,,,
51,151747,Al Shabab,Al-Qadisiyah FC,2,1,Prince Faisal bin Fahd Stadium,"Simon Lee Evans, Wales",2018-10-26T18:05:00+03:00,2018/2019,,,,,,
52,151748,Al Baten,Al Taawon,0,5,Al-Batin Club Stadium,"Fedayi San, Switzerland",2018-10-26T18:10:00+03:00,2018/2019,,,,,,
53,151749,Ohod,Al Wehda Club,1,3,Prince Mohammed bin Abdul Aziz Stadium,"Ivan Bebek, Croatia",2018-10-26T18:25:00+03:00,2018/2019,,,,,,
54,151750,Al-Fayha,Al-Nassr,1,1,Prince Salman Bin Abdulaziz Sport City Stadium,"Milorad Mazic, Serbia",2018-10-26T19:45:00+03:00,2018/2019,,,,,,
55,151751,Al-Fateh,Al-Fayha,1,2,Prince Abdullah bin Jalawi Stadium,"Bruin Manchost,",2018-11-01T16:35:00+03:00,2018/2019,,,,,,
56,151752,Al Baten,Al-Hazm,1,0,Al-Batin Club Stadium,"Bartosz Frankowski, Poland",2018-11-01T17:00:00+03:00,2018/2019,,,,,,
57,151753,Al-Faisaly FC,Al-Ettifaq,5,1,Prince Salman Bin Abdulaziz Sport City Stadium,"Svein Oddvar Moen, Norway",2018-11-01T17:00:00+03:00,2018/2019,,,,,,
58,151754,Al Wehda Club,Al Shabab,0,1,King Abdul Aziz Stadium,"Mark Clattenburg, England",2018-11-01T17:25:00+03:00,2018/2019,,,,,,
59,151755,Al-Ittihad FC,Al-Raed,1,2,King Abdullah Sports City,"Fabio Varissimo,",2018-11-01T18:50:00+03:00,2018/2019,,,,,,
60,151756,Al-Qadisiyah FC,Al-Hilal Saudi FC,0,2,Prince Saud bin Jalawi Stadium,"Bartosz Frankowski, Poland",2018-11-02T16:35:00+03:00,2018/2019,,,,,,
61,151757,Ohod,Al Taawon,1,0,Prince Mohammed bin Abdul Aziz Stadium,"Simon Lee Evans, Wales",2018-11-02T17:20:00+03:00,2018/2019,,,,,,
62,151758,Al-Nassr,Al-Ahli Jeddah,0,2,Prince Faisal bin Fahd Stadium,"Ravshan Irmatov, Uzbekistan",2018-11-03T16:55:00+03:00,2018/2019,,,,,,
63,151734,Al-Hilal Saudi FC,Al-Ettifaq,4,1,King Saud University Stadium,"Milorad Mazic, Serbia",2018-11-06T16:55:00+03:00,2018/2019,,,,,,
64,151759,Al Baten,Al-Fateh,2,2,Al-Batin Club Stadium,"Matt Conger, New Zealand",2018-11-08T16:45:00+03:00,2018/2019,,,,,,
65,151760,Al-Faisaly FC,Al Shabab,0,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Milorad Mazic, Serbia",2018-11-08T16:50:00+03:00,2018/2019,,,,,,
66,151761,Ohod,Al-Hazm,3,3,Prince Mohammed bin Abdul Aziz Stadium,"Szymon Marciniak, Poland",2018-11-08T17:15:00+03:00,2018/2019,,,,,,
67,151762,Al-Ahli Jeddah,Al-Qadisiyah FC,0,2,King Abdullah Sports City,"Damir Skomina, Slovenia",2018-11-09T17:20:00+03:00,2018/2019,,,,,,
68,151763,Al-Fayha,Al-Ittihad FC,2,1,Prince Salman Bin Abdulaziz Sport City Stadium,"Matteo Konger, New Zealand",2018-11-10T16:50:00+03:00,2018/2019,,,,,,
69,151764,Al Wehda Club,Al-Hilal Saudi FC,0,3,King Abdul Aziz Stadium,"Pawel Gil, Poland",2018-11-11T17:20:00+03:00,2018/2019,,,,,,
70,151765,Al-Ettifaq,Al-Nassr,1,2,Prince Mohamed Bin Fahd Stadium,"Damir Skomina, Slovenia",2018-11-11T19:15:00+03:00,2018/2019,,,,,,
71,151767,Al-Fateh,Ohod,4,0,Prince Abdullah bin Jalawi Stadium,"Mark Clattenburg, England",2018-11-22T13:45:00+03:00,2018/2019,,,,,,
72,151768,Al-Fayha,Al-Hazm,1,1,Prince Salman Bin Abdulaziz Sport City Stadium,"Damir Skomina, Slovenia",2018-11-22T16:50:00+03:00,2018/2019,,,,,,
73,151769,Al Wehda Club,Al Baten,1,0,King Abdul Aziz Stadium,"Svein Oddvar Moen, Norway",2018-11-22T17:20:00+03:00,2018/2019,,,,,,
74,151770,Al-Qadisiyah FC,Al-Raed,3,1,Prince Saud bin Jalawi Stadium,"Artur Soares Dias, Portugal",2018-11-23T16:30:00+03:00,2018/2019,,,,,,
75,151771,Al-Nassr,Al Shabab,1,0,Prince Faisal bin Fahd Stadium,"Pavel Kralovec, Czech Republic",2018-11-23T18:40:00+03:00,2018/2019,,,,,,
76,151772,Al-Ettifaq,Al Taawon,2,4,Prince Saud bin Jalawi Stadium,"Tomasz Kwiatkowski, Poland",2018-11-24T16:30:00+03:00,2018/2019,,,,,,
77,151773,Al-Faisaly FC,Al-Hilal Saudi FC,1,1,Prince Salman Bin Abdulaziz Sport City Stadium,"Viktor Kassai, Hungary",2018-11-24T16:50:00+03:00,2018/2019,,,,,,
78,151774,Al-Ittihad FC,Al-Ahli Jeddah,1,3,King Abdullah Sports City,"Milorad Mazic, Serbia",2018-11-25T18:40:00+03:00,2018/2019,,,,,,
79,151775,Al Shabab,Al-Ettifaq,2,2,Prince Faisal bin Fahd Stadium,"Bernie Raymond Blom, Netherlands",2018-11-29T16:45:00+03:00,2018/2019,,,,,,
80,151776,Al-Qadisiyah FC,Al-Faisaly FC,1,1,Prince Saud bin Jalawi Stadium,"Anastasios Sidiropoulos, Greece",2018-11-30T16:25:00+03:00,2018/2019,,,,,,
81,151777,Al-Ahli Jeddah,Al-Fayha,1,1,King Abdullah Sports City,"Damir Skomina, Slovenia",2018-11-30T17:30:00+03:00,2018/2019,,,,,,
82,151778,Al-Fateh,Al Taawon,0,2,Prince Abdullah bin Jalawi Stadium,"Pawel Raczkowski, Poland",2018-12-01T16:25:00+03:00,2018/2019,,,,,,
83,151779,Al Baten,Al-Raed,1,3,Al-Batin Club Stadium,"Bernie Raymond Blom, Netherlands",2018-12-01T16:40:00+03:00,2018/2019,,,,,,
84,151780,Al-Nassr,Al Wehda Club,1,2,Prince Faisal bin Fahd Stadium,"Sandro Meira Ricci, Brazil",2018-12-02T16:45:00+03:00,2018/2019,,,,,,
85,151781,Al-Ittihad FC,Al-Hazm,2,2,King Abdullah Sports City,"Svein Oddvar Moen, Norway",2018-12-02T17:15:00+03:00,2018/2019,,,,,,
86,151783,Al Baten,Al-Fayha,1,0,Al-Batin Club Stadium,"Simon Lee Evans, Wales",2018-12-06T14:00:00+03:00,2018/2019,,,,,,
87,151784,Al-Qadisiyah FC,Al-Ettifaq,2,0,Prince Saud bin Jalawi Stadium,"Viktor Kassai, Hungary",2018-12-06T16:25:00+03:00,2018/2019,,,,,,
88,151785,Al Shabab,Ohod,1,0,Prince Faisal bin Fahd Stadium,"Pavel Kralovec, Czech Republic",2018-12-06T16:45:00+03:00,2018/2019,,,,,,
89,151786,Al-Ittihad FC,Al-Faisaly FC,1,2,King Abdullah Sports City,"Ovidiu Hategan, Romania",2018-12-06T18:40:00+03:00,2018/2019,,,,,,
90,151787,Al Wehda Club,Al Taawon,0,1,King Abdul Aziz Stadium,"Joao Carlos Santos Capela, Portugal",2018-12-07T17:20:00+03:00,2018/2019,,,,,,
91,151788,Al-Hilal Saudi FC,Al-Nassr,2,2,King Saud University Stadium,"Nestor Pitana, Argentina",2018-12-08T14:05:00+03:00,2018/2019,,,,,,
92,151789,Al-Fateh,Al-Hazm,3,2,Prince Abdullah bin Jalawi Stadium,"Wilmar Roldan, Colombia",2018-12-08T16:30:00+03:00,2018/2019,,,,,,
93,151790,Al-Raed,Al-Ahli Jeddah,0,0,King Abdullah Sport City Stadium,"Svein Oddvar Moen, Norway",2018-12-08T16:50:00+03:00,2018/2019,,,,,,
94,151782,Ohod,Al-Hilal Saudi FC,0,1,Prince Mohammed bin Abdul Aziz Stadium,"Svein Oddvar Moen, Norway",2018-12-12T17:20:00+03:00,2018/2019,,,,,,
95,151791,Al-Ettifaq,Al Wehda Club,2,1,Prince Saud bin Jalawi Stadium,"Mark Clattenburg, England",2018-12-13T16:30:00+03:00,2018/2019,,,,,,
96,151792,Al-Fateh,Al-Faisaly FC,1,1,Prince Abdullah bin Jalawi Stadium,"Szymon Marciniak, Poland",2018-12-13T16:30:00+03:00,2018/2019,,,,,,
97,151793,Al-Nassr,Al-Raed,4,0,Prince Faisal bin Fahd Stadium,"Ovidiu Hategan, Romania",2018-12-14T14:05:00+03:00,2018/2019,,,,,,
98,151794,Al Taawon,Al-Fayha,3,0,King Abdullah Sport City Stadium,"Svein Oddvar Moen, Norway",2018-12-14T14:15:00+03:00,2018/2019,,,,,,
99,151795,Al Baten,Al-Ittihad FC,1,3,Al-Batin Club Stadium,"Alan Kelly, Ireland",2018-12-14T16:45:00+03:00,2018/2019,,,,,,
100,151796,Al-Hilal Saudi FC,Al-Hazm,1,2,King Saud University Stadium,"Milorad Mazic, Serbia",2018-12-15T14:05:00+03:00,2018/2019,,,,,,
101,151797,Al-Ahli Jeddah,Al Shabab,0,1,King Abdullah Sports City,"Szymon Marciniak, Poland",2018-12-15T17:25:00+03:00,2018/2019,,,,,,
102,151798,Ohod,Al-Qadisiyah FC,1,3,Prince Mohammed bin Abdul Aziz Stadium,"Mark Clattenburg, England",2018-12-17T17:20:00+03:00,2018/2019,,,,,,
103,151799,Al-Raed,Al-Hazm,1,0,King Abdullah Sport City Stadium,"Artur Soares Dias, Portugal",2018-12-20T14:20:00+03:00,2018/2019,,,,,,
104,151800,Al-Faisaly FC,Al Wehda Club,3,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Pavel Kralovec, Czech Republic",2018-12-20T16:50:00+03:00,2018/2019,,,,,,
105,151801,Al Shabab,Al Baten,4,0,Prince Faisal bin Fahd Stadium,"Mark Clattenburg, England",2018-12-21T14:10:00+03:00,2018/2019,,,,,,
106,151802,Al-Hilal Saudi FC,Al-Ahli Jeddah,4,3,King Saud University Stadium,"Clement Turpin, France",2018-12-21T14:10:00+03:00,2018/2019,,,,,,
107,151803,Al-Fateh,Al-Ettifaq,0,0,Prince Abdullah bin Jalawi Stadium,"Hugo Miguel, Portugal",2018-12-21T16:30:00+03:00,2018/2019,,,,,,
108,151804,Al-Qadisiyah FC,Al Taawon,3,1,Prince Saud bin Jalawi Stadium,"Anastasios Sidiropoulos, Greece",2018-12-21T16:30:00+03:00,2018/2019,,,,,,
109,151805,Al-Ittihad FC,Al-Nassr,1,2,King Abdullah Sports City,"Viktor Kassai, Hungary",2018-12-21T17:25:00+03:00,2018/2019,,,,,,
110,151806,Al-Fayha,Ohod,3,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Sergei Karasev, Russia",2018-12-22T14:15:00+03:00,2018/2019,,,,,,
111,151766,Al-Raed,Al Taawon,2,1,King Abdullah Sport City Stadium,"Sergei Karasev, Russia",2018-12-25T17:00:00+03:00,2018/2019,,,,,,
112,151807,Al Baten,Al-Qadisiyah FC,2,0,Al-Batin Club Stadium,"Viktor Kassai, Hungary",2018-12-27T16:45:00+03:00,2018/2019,,,,,,
113,151808,Al-Faisaly FC,Al-Fayha,1,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Milorad Mazic, Serbia",2018-12-27T16:55:00+03:00,2018/2019,,,,,,
114,151809,Al-Fateh,Al-Nassr,0,0,Prince Abdullah bin Jalawi Stadium,"Alberto Undiano, Spain",2018-12-28T14:00:00+03:00,2018/2019,,,,,,
115,151810,Al-Hazm,Al Shabab,1,3,Al Hazm Club Stadium,"Danny Desmond Makkelie, Netherlands",2018-12-28T14:20:00+03:00,2018/2019,,,,,,
116,151811,Al Wehda Club,Al-Ahli Jeddah,2,1,King Abdul Aziz Stadium,"Ovidiu Hategan, Romania",2018-12-28T17:30:00+03:00,2018/2019,,,,,,
117,151812,Al-Ettifaq,Al-Ittihad FC,1,0,Prince Saud bin Jalawi Stadium,"Milorad Mazic, Serbia",2018-12-29T16:35:00+03:00,2018/2019,,,,,,
118,151813,Ohod,Al-Raed,0,1,Prince Mohammed bin Abdul Aziz Stadium,"Viktor Kassai, Hungary",2018-12-30T14:45:00+03:00,2018/2019,,,,,,
119,151814,Al Taawon,Al-Hilal Saudi FC,2,2,King Abdullah Sport City Stadium,"Danny Desmond Makkelie, Netherlands",2018-12-30T17:00:00+03:00,2018/2019,,,,,,
120,151815,Al-Faisaly FC,Al-Nassr,2,2,Prince Salman Bin Abdulaziz Sport City Stadium,"Szymon Marciniak, Poland",2019-01-10T17:05:00+03:00,2018/2019,,,,,,
121,151816,Al Taawon,Al-Hazm,1,1,King Abdullah Sport City Stadium,"Svein Oddvar Moen, Norway",2019-01-10T17:10:00+03:00,2018/2019,,,,,,
122,151817,Al Wehda Club,Al-Fateh,1,0,King Abdul Aziz Stadium,"Viktor Kassai, Hungary",2019-01-10T17:35:00+03:00,2018/2019,,,,,,
123,151818,Al-Qadisiyah FC,Al-Ittihad FC,0,1,Prince Saud bin Jalawi Stadium,"Mark Clattenburg, England",2019-01-10T18:50:00+03:00,2018/2019,,,,,,
124,151819,Al-Hilal Saudi FC,Al-Raed,1,1,King Saud University Stadium,"Damir Skomina, Slovenia",2019-01-11T14:25:00+03:00,2018/2019,,,,,,
125,151820,Al Shabab,Al-Fayha,4,1,Al Shabab Club Stadium,"Pawel Raczkowski, Poland",2019-01-11T14:25:00+03:00,2018/2019,,,,,,
126,151821,Al Baten,Al-Ettifaq,0,0,Al-Batin Club Stadium,"Pavel Kralovec, Czech Republic",2019-01-11T14:30:00+03:00,2018/2019,,,,,,
127,151822,Al-Ahli Jeddah,Ohod,5,1,King Abdullah Sports City,"Paolo Silvio Mazzoleni, Italy",2019-01-11T17:35:00+03:00,2018/2019,,,,,,
128,151823,Al-Fateh,Al-Qadisiyah FC,2,0,Prince Abdullah bin Jalawi Stadium,"Mohammed Al Hoaish, Saudi Arabia",2019-01-27T14:20:00+03:00,2018/2019,,,,,,
129,151824,Al-Fayha,Al-Hilal Saudi FC,1,5,Prince Salman Bin Abdulaziz Sport City Stadium,"Bernie Raymond Blom, Netherlands",2019-01-27T17:20:00+03:00,2018/2019,,,,,,
130,151825,Al Baten,Al-Faisaly FC,2,0,Al-Batin Club Stadium,"Khaled Al Teris, Saudi Arabia",2019-01-28T14:30:00+03:00,2018/2019,,,,,,
131,151826,Al-Nassr,Ohod,4,0,Prince Salman Bin Abdulaziz Sport City Stadium,"Svein Oddvar Moen, Norway",2019-01-28T17:20:00+03:00,2018/2019,,,,,,
132,151827,Al Wehda Club,Al-Hazm,1,1,King Abdul Aziz Stadium,"Daniel Stefanski, Poland",2019-01-28T17:50:00+03:00,2018/2019,,,,,,
133,151828,Al Taawon,Al-Ahli Jeddah,3,4,King Abdullah Sport City Stadium,"Mark Clattenburg, England",2019-01-28T19:20:00+03:00,2018/2019,,,,,,
134,151829,Al-Raed,Al-Ettifaq,1,2,King Abdullah Sport City Stadium,"Simon Lee Evans, Wales",2019-01-29T17:25:00+03:00,2018/2019,,,,,,
