,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status
225,312958,Al-Fayha,Al-Adalah,,,Al Majma'ah Sports City Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
226,312959,Al-Ettifaq,Dhamk,,,Prince Mohamed bin Fahd Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
227,312960,Al-Ittihad FC,Al-Nassr,,,King Abdullah Sports City,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
228,312961,Al-Fateh,Al Taawon,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
229,312962,Al-Raed,Al-Faisaly FC,,,King Abdullah Sport City Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
230,312963,Al Wehda Club,Al-Hilal Saudi FC,,,King Abdul Aziz Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
231,312964,Al Shabab,Al-Hazm,,,Prince Khalid Bin Sultan Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
232,312965,Al-Adalah,Al-Ittihad FC,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
233,312966,Dhamk,Al-Fateh,,,Prince Sultan bin Abdul Aziz Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
234,312967,Al-Hazm,Al Wehda Club,,,Ar-Rass Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
235,312968,Al-Faisaly FC,Abha,,,Al Majma'ah Sports City Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
236,312969,Al-Ahli Jeddah,Al-Raed,,,King Abdullah Sports City,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
237,312970,Al Taawon,Al-Fayha,,,King Abdullah Sport City Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
238,312971,Al-Hilal Saudi FC,Al Shabab,,,King Saud University Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
239,312972,Al-Nassr,Al-Ettifaq,,,Prince Faisal bin Fahd Stadium,,2020-09-09T20:35:00+03:00,2019/2020,,,,,,,30,Not Started
