,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status
108,234885,Al-Faisaly FC,Al-Raed,0,1,Al Majma'ah Sports City Stadium,Mohammed Al Hoaish,2020-01-11T17:05:00+03:00,2019/2020,,,,,,,14,Match Finished
109,234888,Al-Hilal Saudi FC,Al Wehda Club,3,1,King Saud University Stadium,O. Hațegan,2020-01-11T19:05:00+03:00,2019/2020,,,,,,,14,Match Finished
110,234882,Al-Ahli Jeddah,Abha,3,1,King Abdullah Sports City,Sultan Al-Harbi,2020-01-13T19:05:00+03:00,2019/2020,,,,,,,14,Match Finished
111,234868,Al-Faisaly FC,Al-Hilal Saudi FC,2,2,Al Majma'ah Sports City Stadium,A. Treimanis,2020-01-20T17:10:00+03:00,2019/2020,,,,,,,12,Match Finished
112,234895,Al-Fateh,Dhamk,0,0,Prince Abdullah bin Jalawi Sports City Stadium,P. Gil,2020-01-23T16:55:00+03:00,2019/2020,,,,,,,15,Match Finished
113,234891,Al-Raed,Al-Ahli Jeddah,1,2,King Abdullah Sport City Stadium,Shukri Al Hanfosh,2020-01-23T19:10:00+03:00,2019/2020,,,,,,,15,Match Finished
114,234889,Al-Fayha,Al Taawon,2,2,Al Majma'ah Sports City Stadium,Faisal Alblwi,2020-01-24T14:35:00+03:00,2019/2020,,,,,,,15,Match Finished
115,234894,Al-Ettifaq,Al-Nassr,0,1,Prince Mohamed bin Fahd Stadium,S. Marciniak,2020-01-24T16:55:00+03:00,2019/2020,,,,,,,15,Match Finished
116,234896,Al Wehda Club,Al-Hazm,5,1,King Abdul Aziz Stadium,Majed Al Shamrani,2020-01-24T19:10:00+03:00,2019/2020,,,,,,,15,Match Finished
117,234892,Abha,Al-Faisaly FC,0,1,Prince Sultan bin Abdul Aziz Stadium,T. Bognár,2020-01-25T14:55:00+03:00,2019/2020,,,,,,,15,Match Finished
118,234893,Al Shabab,Al-Hilal Saudi FC,0,0,Prince Faisal bin Fahd Stadium,S. Moen,2020-01-25T17:10:00+03:00,2019/2020,,,,,,,15,Match Finished
119,234890,Al-Ittihad FC,Al-Adalah,0,0,King Abdullah Sports City,M. Conger,2020-01-25T19:10:00+03:00,2019/2020,,,,,,,15,Match Finished
120,312857,Dhamk,Al-Nassr,1,1,Prince Sultan bin Abdul Aziz Stadium,M. Zelinka,2020-01-30T15:00:00+03:00,2019/2020,,,,,,,16,Match Finished
121,312858,Al-Ettifaq,Al Wehda Club,3,1,Prince Mohamed bin Fahd Stadium,T. Bognár,2020-01-30T17:00:00+03:00,2019/2020,,,,,,,16,Match Finished
122,312859,Abha,Al-Hilal Saudi FC,1,2,Prince Sultan bin Abdul Aziz Stadium,I. Pajač,2020-01-31T15:00:00+03:00,2019/2020,,,,,,,16,Match Finished
123,312860,Al-Hazm,Al Taawon,0,0,Ar-Rass Stadium,Khaled Al Teris,2020-01-31T17:25:00+03:00,2019/2020,,,,,,,16,Match Finished
124,312861,Al-Raed,Al-Ittihad FC,1,1,King Abdullah Sport City Stadium,Mohammed Al Hoaish,2020-01-31T19:15:00+03:00,2019/2020,,,,,,,16,Match Finished
125,312862,Al-Adalah,Al-Ahli Jeddah,1,1,Prince Abdullah bin Jalawi Sports City Stadium,A. Lindhout,2020-02-01T14:25:00+03:00,2019/2020,,,,,,,16,Match Finished
126,312863,Al Shabab,Al-Fateh,2,1,Prince Faisal bin Fahd Stadium,Turki Al Khudair,2020-02-01T17:15:00+03:00,2019/2020,,,,,,,16,Match Finished
127,312864,Al-Fayha,Al-Faisaly FC,2,1,Al Majma'ah Sports City Stadium,N. Waldron,2020-02-01T19:15:00+03:00,2019/2020,,,,,,,16,Match Finished
128,312865,Dhamk,Al-Adalah,1,1,Prince Sultan bin Abdul Aziz Stadium,M. Zebec,2020-02-05T15:00:00+03:00,2019/2020,,,,,,,17,Match Finished
129,312866,Al Taawon,Al-Ittihad FC,1,2,King Abdullah Sport City Stadium,S. Kovacs,2020-02-05T17:25:00+03:00,2019/2020,,,,,,,17,Match Finished
130,312867,Al-Hilal Saudi FC,Al-Raed,3,1,King Saud University Stadium,A. Kulbakov,2020-02-05T19:20:00+03:00,2019/2020,,,,,,,17,Match Finished
131,312868,Al-Nassr,Al-Fateh,1,1,Prince Faisal bin Fahd Stadium,I. Bebek,2020-02-06T17:20:00+03:00,2019/2020,,,,,,,17,Match Finished
132,312869,Al-Ahli Jeddah,Al-Ettifaq,3,2,King Abdul Aziz Stadium,Turki Al Khudair,2020-02-06T19:20:00+03:00,2019/2020,,,,,,,17,Match Finished
133,312870,Abha,Al Wehda Club,1,4,Prince Sultan bin Abdul Aziz Stadium,António Nobre,2020-02-07T15:00:00+03:00,2019/2020,,,,,,,17,Match Finished
134,312871,Al-Hazm,Al-Fayha,4,2,Ar-Rass Stadium,T. Sedeorobolos,2020-02-07T17:30:00+03:00,2019/2020,,,,,,,17,Match Finished
135,312872,Al-Faisaly FC,Al Shabab,2,1,Al Majma'ah Sports City Stadium,D. Higler,2020-02-07T19:20:00+03:00,2019/2020,,,,,,,17,Match Finished
136,312873,Al-Ittihad FC,Dhamk,1,2,King Abdul Aziz Stadium,J. Kamphuis,2020-02-10T19:20:00+03:00,2019/2020,,,,,,,18,Match Finished
137,312874,Al-Ettifaq,Al-Hazm,2,3,Prince Mohamed bin Fahd Stadium,M. Jug,2020-02-13T14:30:00+03:00,2019/2020,,,,,,,18,Match Finished
138,312875,Al-Fayha,Al-Hilal Saudi FC,0,1,Al Majma'ah Sports City Stadium,A. Ekberg,2020-02-13T17:30:00+03:00,2019/2020,,,,,,,18,Match Finished
139,312876,Al-Adalah,Al Taawon,0,0,Prince Abdullah bin Jalawi Sports City Stadium,Majed Al Shamrani,2020-02-14T14:30:00+03:00,2019/2020,,,,,,,18,Match Finished
140,312877,Al Shabab,Al-Nassr,2,4,Prince Faisal bin Fahd Stadium,O. Hațegan,2020-02-14T17:25:00+03:00,2019/2020,,,,,,,18,Match Finished
141,312878,Al Wehda Club,Al-Ahli Jeddah,2,0,King Abdul Aziz Stadium,S. Vinčić,2020-02-14T19:25:00+03:00,2019/2020,,,,,,,18,Match Finished
142,312879,Al-Raed,Abha,2,1,King Abdullah Sport City Stadium,M. Gestranius,2020-02-15T14:55:00+03:00,2019/2020,,,,,,,18,Match Finished
143,312880,Al-Fateh,Al-Faisaly FC,2,2,Prince Abdullah bin Jalawi Sports City Stadium,Sultan Al-Harbi,2020-02-15T17:10:00+03:00,2019/2020,,,,,,,18,Match Finished
144,312881,Al Shabab,Dhamk,3,2,Prince Khalid Bin Sultan Stadium,M. Conger,2020-02-20T14:50:00+03:00,2019/2020,,,,,,,19,Match Finished
145,312882,Al Wehda Club,Al-Fayha,0,2,King Abdul Aziz Stadium,Turki Al Khudair,2020-02-20T19:30:00+03:00,2019/2020,,,,,,,19,Match Finished
146,312883,Abha,Al-Adalah,2,2,Prince Sultan bin Abdul Aziz Stadium,Khaled Al Teris,2020-02-21T15:10:00+03:00,2019/2020,,,,,,,19,Match Finished
147,312884,Al-Faisaly FC,Al-Ettifaq,1,2,Al Majma'ah Sports City Stadium,B. Gassama,2020-02-21T17:30:00+03:00,2019/2020,,,,,,,19,Match Finished
148,313273,Al-Ahli Jeddah,Al-Fateh,0,1,King Abdullah Sports City,Majed Al Shamrani,2020-02-21T19:30:00+03:00,2019/2020,,,,,,,19,Match Finished
149,313274,Al Taawon,Al-Raed,1,1,King Abdullah Sport City Stadium,S. Gözübüyük,2020-02-22T15:00:00+03:00,2019/2020,,,,,,,19,Match Finished
150,312885,Al-Hazm,Al-Nassr,0,2,Ar-Rass Stadium,Jorge de Sousa,2020-02-22T17:40:00+03:00,2019/2020,,,,,,,19,Match Finished
151,312886,Al-Hilal Saudi FC,Al-Ittihad FC,1,0,King Saud University Stadium,S. Marciniak,2020-02-22T19:30:00+03:00,2019/2020,,,,,,,19,Match Finished
152,312887,Al Taawon,Al-Hilal Saudi FC,0,1,King Abdullah Sport City Stadium,S. Vinčić,2020-02-27T17:40:00+03:00,2019/2020,,,,,,,20,Match Finished
153,312888,Al-Nassr,Al-Ahli Jeddah,2,2,Prince Faisal bin Fahd Stadium,D. Skomina,2020-02-27T19:40:00+03:00,2019/2020,,,,,,,20,Match Finished
154,312889,Dhamk,Al-Hazm,3,0,Prince Sultan bin Abdul Aziz Stadium,Mohammed Al Hoaish,2020-02-28T15:10:00+03:00,2019/2020,,,,,,,20,Match Finished
155,312890,Al-Adalah,Al-Faisaly FC,0,2,Prince Abdullah bin Jalawi Sports City Stadium,I. Bebek,2020-02-28T17:20:00+03:00,2019/2020,,,,,,,20,Match Finished
156,312891,Al-Fayha,Al-Raed,3,1,Al Majma'ah Sports City Stadium,G. Kabakov,2020-02-28T19:10:00+03:00,2019/2020,,,,,,,20,Match Finished
157,312892,Al-Fateh,Al Wehda Club,3,2,Prince Abdullah bin Jalawi Sports City Stadium,Khaled Al Teris,2020-02-29T14:40:00+03:00,2019/2020,,,,,,,20,Match Finished
158,312893,Al-Ettifaq,Abha,4,1,Prince Mohamed bin Fahd Stadium,A. Ekberg,2020-02-29T17:20:00+03:00,2019/2020,,,,,,,20,Match Finished
159,312894,Al-Ittihad FC,Al Shabab,5,1,King Abdullah Sports City,B. Kuipers,2020-02-29T19:40:00+03:00,2019/2020,,,,,,,20,Match Finished
160,312895,Al-Hazm,Al-Ittihad FC,1,1,Ar-Rass Stadium,B. Madden,2020-03-05T17:45:00+03:00,2019/2020,,,,,,,21,Match Finished
161,312896,Al Shabab,Al-Adalah,4,0,Prince Khalid Bin Sultan Stadium,Majed Al Shamrani,2020-03-05T19:40:00+03:00,2019/2020,,,,,,,21,Match Finished
162,312897,Al-Raed,Al-Fateh,0,0,King Abdullah Sport City Stadium,M. Jug,2020-03-06T15:05:00+03:00,2019/2020,,,,,,,21,Match Finished
163,312898,Al Wehda Club,Dhamk,3,2,King Abdul Aziz Stadium,Faisal Alblwi,2020-03-06T18:05:00+03:00,2019/2020,,,,,,,21,Match Finished
164,312899,Al-Ahli Jeddah,Al-Fayha,1,0,King Abdullah Sports City,S. Vinčić,2020-03-06T19:40:00+03:00,2019/2020,,,,,,,21,Match Finished
165,312900,Abha,Al Taawon,2,1,Prince Sultan bin Abdul Aziz Stadium,T. Bognár,2020-03-07T15:15:00+03:00,2019/2020,,,,,,,21,Match Finished
166,312901,Al-Faisaly FC,Al-Nassr,3,2,Al Majma'ah Sports City Stadium,D. Makkelie,2020-03-07T17:40:00+03:00,2019/2020,,,,,,,21,Match Finished
167,312902,Al-Hilal Saudi FC,Al-Ettifaq,1,0,King Saud University Stadium,S. Jovanović,2020-03-07T19:40:00+03:00,2019/2020,,,,,,,21,Match Finished
168,312905,Dhamk,Al-Hilal Saudi FC,1,1,Prince Sultan bin Abdul Aziz Stadium,P. Kralovec,2020-03-11T15:10:00+03:00,2019/2020,,,,,,,22,Match Finished
169,312904,Al-Ettifaq,Al Shabab,1,0,Prince Mohamed bin Fahd Stadium,M. Gestranius,2020-03-11T17:25:00+03:00,2019/2020,,,,,,,22,Match Finished
170,312906,Al-Fayha,Abha,0,2,Al Majma'ah Sports City Stadium,Mohammed Al Hoaish,2020-03-11T17:45:00+03:00,2019/2020,,,,,,,22,Match Finished
171,312909,Al Taawon,Al-Ahli Jeddah,1,0,King Abdullah Sport City Stadium,S. Jovanović,2020-03-11T17:50:00+03:00,2019/2020,,,,,,,22,Match Finished
172,312907,Al-Ittihad FC,Al Wehda Club,1,2,King Abdullah Sports City,I. Kovacs,2020-03-11T19:45:00+03:00,2019/2020,,,,,,,22,Match Finished
173,312910,Al-Nassr,Al-Raed,4,1,Prince Faisal bin Fahd Stadium,T. Bognár,2020-03-11T19:45:00+03:00,2019/2020,,,,,,,22,Match Finished
174,312908,Al-Fateh,Al-Adalah,0,1,Prince Abdullah bin Jalawi Sports City Stadium,A. Kulbakov,2020-03-12T17:30:00+03:00,2019/2020,,,,,,,22,Match Finished
175,312903,Al-Hazm,Al-Faisaly FC,2,2,Ar-Rass Stadium,I. Kovacs,2020-03-13T17:50:00+03:00,2019/2020,,,,,,,22,Match Finished
176,312917,Al-Fateh,Al-Fayha,2,0,Prince Abdullah bin Jalawi Sports City Stadium,Turki Al Khudair,2020-08-04T19:00:00+03:00,2019/2020,,,,,,,23,Match Finished
177,312916,Abha,Al-Ittihad FC,2,1,Prince Sultan bin Abdulaziz Sports City Stadium,Majed Al Shamrani,2020-08-04T19:15:00+03:00,2019/2020,,,,,,,23,Match Finished
178,312913,Al-Raed,Dhamk,3,0,King Abdullah bin Abdulaziz City,Khaled Al Teris,2020-08-04T19:25:00+03:00,2019/2020,,,,,,,23,Match Finished
179,312911,Al-Faisaly FC,Al Taawon,2,1,Al Majma'ah Sports City Stadium,Faisal Alblwi,2020-08-04T20:45:00+03:00,2019/2020,,,,,,,23,Match Finished
180,312912,Al-Ahli Jeddah,Al-Hazm,4,2,King Abdullah Sports City,Shukri Al Hanfosh,2020-08-04T21:15:00+03:00,2019/2020,,,,,,,23,Match Finished
181,312914,Al Wehda Club,Al Shabab,0,3,King Abdulaziz Sports City Stadium,Mohammed Al Hoaish,2020-08-05T19:30:00+03:00,2019/2020,,,,,,,23,Match Finished
182,312915,Al-Adalah,Al-Ettifaq,0,1,Prince Abdullah bin Jalawi Sports City Stadium,G. Kabakov,2020-08-05T20:30:00+03:00,2019/2020,,,,,,,23,Match Finished
183,313275,Al-Nassr,Al-Hilal Saudi FC,1,4,King Fahd International Stadium,B. Bastien,2020-08-05T21:00:00+03:00,2019/2020,,,,,,,23,Match Finished
184,312921,Al-Ettifaq,Al-Fayha,3,2,Prince Saud bin Jalawi Stadium,,2020-08-09T19:00:00+03:00,2019/2020,,,,,,,24,Match Finished
185,312920,Dhamk,Al-Faisaly FC,2,1,Prince Sultan bin Abdul Aziz Stadium,,2020-08-09T19:15:00+03:00,2019/2020,,,,,,,24,Match Finished
186,312919,Al Wehda Club,Al-Raed,0,0,King Abdul Aziz Stadium,,2020-08-09T19:30:00+03:00,2019/2020,,,,,,,24,Match Finished
