fixture_id,home_team,away_team,home_goals,away_goals,venue,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status,H_avg_ratings,A_avg_ratings
151695,Al-Ettifaq,Al-Raed,1.0,1.0,Prince Mohamed Bin Fahd Stadium,2018-08-30 18:40:00,2018/2019,L. Ramos,B. Hasi,4-2-3-1,4-2-3-1,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Saeed Al Yami', None), ('F. Kiss', 'M'), ('B. Alemán', 'M'), ('Omar Al Senien', 'D'), ('C. Guanca', 'M'), ('F. Ben Youssef', 'F'), ('Mohammed Al Kuwaykibi', 'M'), ('Abdulrahman Al Obod', 'F')]","[('A. Doukha', 'G'), ('H. Belkaroui', 'D'), ('Mohammed Al Amri', None), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Sultan Farhan', 'M'), ('F. Hasani', 'M'), ('Saleh Al Shehri', None)]",1,Match Finished,7.0,6.98
151696,Al-Hazm,Al Wehda Club,0.0,0.0,King Abdul Aziz Stadium,2018-08-30 19:05:00,2018/2019,D. Isăilă,Fábio Carille,4-2-3-1,4-4-2,"[('M. Asselah', None), ('Alemão', None), ('Khaled Al Barakah', None), ('Saif Al Qeshtah', None), ('Muralha', None), ('Rodolfo', None), ('Yousef Qalfa', None), ('Masood Bekheet', None), ('J. Pajoy', None), ('G. Álvarez', None), ('Faris Al Alayaf', None)]","[('Mohamed Awad', None), ('Osama Hawsawi', None), ('Renato Chaves', None), ('Abdullah Al Zoari', None), ('Waleed Bakshween', None), ('Anselmo', None), ('E. Çolak', None), ('R. Otero', None), ('Faisal Darwish', None), ('Marcos Guilherme', None), ('Saleh Al Jamaan', None)]",1,Match Finished,6.97,6.77
151697,Ohod,Al-Nassr,1.0,2.0,Prince Mohammed bin Abdul Aziz Stadium,2018-08-30 19:15:00,2018/2019,F. Arce,D. Carreño,4-2-3-1,4-2-3-1,"[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Islam Seraj', 'F'), ('Mohmad Atiah', 'M'), ('Ribamar', 'F'), ('Mohameed Eldaw', 'M')]","[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Ibrahim Ghaleb', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('Mohammad Al Sahlawi', 'F'), ('A. Musa', 'F')]",1,Match Finished,6.64,6.83
151698,Al-Qadisiyah FC,Al-Fateh,0.0,0.0,Prince Saud bin Jalawi Stadium,2018-08-31 18:40:00,2018/2019,A. Stanojević,F. Al Jabal,4-4-2,4-2-3-1,"[('J. Duncan', 'G'), ('Adnan Falatah', None), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Élton', 'M'), ('Yago', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]","[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Majed Hazazi', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Mansour Hamzi', 'M'), ('Alkhali Bangoura', 'M')]",1,Match Finished,6.96,7.01
151699,Al-Hilal Saudi FC,Al-Fayha,1.0,0.0,King Fahd Stadium,2018-08-31 18:55:00,2018/2019,Jorge Jesus,G. Costas,4-1-4-1,4-3-3,"[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Omar Abdulrahman', 'M'), ('Carlos Eduardo', 'M'), ('A. Carrillo', 'M'), ('Salem Al Dawsari', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]","[('C. Bonilla', 'G'), ('Naldo', 'M'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Sami Al Khaibari', None), ('Omar Hamad Al Aowda', 'D'), ('A. Tziolis', 'M'), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Hassen Jaaferi', 'M'), ('R. Fernández', 'F')]",1,Match Finished,7.07,6.55
151700,Al Shabab,Al-Ittihad FC,1.0,0.0,Prince Faisal bin Fahd Stadium,2018-08-31 18:55:00,2018/2019,M. Şumudică,R. Díaz,4-4-2,4-3-3,"[('F. Ben Mustapha', 'G'), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Saleh Al Qumayzi', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdullah Alkhaibari', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]","[('Assaf Al Qarni', 'G'), ('M. Jurman', 'D'), ('Thiago Carleto', 'M'), ('Ahmad Asiri', 'D'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jonas', 'M'), ('Omar Al-Mazial', None), ('A. Pešić', 'F'), ('Fahad Al Muwallad', 'F')]",1,Match Finished,7.0,6.84
151702,Al-Ahli Jeddah,Al Taawon,1.0,1.0,King Abdullah Sports City,2018-09-01 19:20:00,2018/2019,P. Guede,Pedro Emanuel,4-3-1-2,5-3-2,"[('Mohammed Al Owais', 'G'), ('Alexis', 'D'), ('Mohamed Abdul Shafy', 'D'), ('Motaz Hawsawi', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Hussain Al Mogahwi', 'M'), ('Djaniny', 'F'), ('Omar Al Somah', 'F')]","[('Cássio', None), ('Jufain Al Bishi', 'D'), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Saeed Al Dosari', 'M'), ('Madallah Alolayan', 'D'), ('Ryan Al Mousa', 'M'), ('Héldon', 'M'), ('Jhonnattann', 'M'), ('L. Tawamba Kana', 'F')]",1,Match Finished,7.01,6.97
151703,Al-Ettifaq,Al Baten,3.0,2.0,Prince Mohamed Bin Fahd Stadium,2018-09-13 18:25:00,2018/2019,L. Ramos,F. Vercauteren,4-4-2,4-2-3-1,"[(""R. M'Bolhi"", None), ('R. Arias', None), ('Hussein Al Sayed', None), ('Ahmad Al Hbeab', None), ('Ali Abdullah Hazzazi', None), ('F. Kiss', None), ('B. Alemán', None), ('Omar Al Senien', None), ('C. Guanca', None), ('F. Ben Youssef', None), ('Abdulrahman Al Obod', None)]","[('Adriano Facchini', None), ('Lucas', None), ('Sultan Msarhi', None), ('Bandar Al Mutairi', None), ('J. Arango', None), ('Baraka', None), ('Majed Kanabah', None), ('Mhana Al Enazi', None), ('Abdulrahman Al Dhifeeri', None), ('A. Bouhaddouz', None), ('Crysan', None)]",2,Match Finished,6.71,6.87
151706,Al-Nassr,Al-Faisaly FC,2.0,1.0,Prince Faisal bin Fahd Stadium,2018-09-14 18:40:00,2018/2019,D. Carreño,M. Rednic,4-2-3-1,4-4-2,"[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Ibrahim Ghaleb', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('Mohammad Al Sahlawi', 'F'), ('A. Musa', 'F')]","[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('K. Hyland', 'M'), ('Mohammed Abusabaan', 'M'), ('Luisinho', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('D. Calderón', 'F')]",2,Match Finished,6.9,6.69
151707,Al-Fayha,Al Shabab,1.0,3.0,Prince Salman Bin Abdulaziz Sport City Stadium,2018-09-14 18:45:00,2018/2019,G. Costas,M. Şumudică,4-1-4-1,4-4-2,"[('C. Bonilla', 'G'), ('Naldo', 'M'), ('Nawaf Al Sabhi', None), ('Ahmed Bamsaud', None), ('Sami Al Khaibari', None), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Abdullah Al Salem', None), ('Daifallah Al Qarni', None), ('R. Fernández', 'F')]","[('F. Ben Mustapha', 'G'), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Saleh Al Qumayzi', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdullah Alkhaibari', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]",2,Match Finished,6.49,6.89
151708,Ohod,Al-Ahli Jeddah,0.0,2.0,Prince Mohammed bin Abdul Aziz Stadium,2018-09-14 20:30:00,2018/2019,F. Arce,P. Guede,4-1-4-1,4-3-1-2,"[('Z. Laaroubi', 'G'), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Sami Kassar', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Rayed Al Ghamdi', 'F'), ('Mohmad Atiah', 'M'), ('Ribamar', 'F'), ('Mohameed Eldaw', 'M')]","[('Mohammed Al Owais', 'G'), ('Alexis', 'D'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Djaniny', 'F'), ('Omar Al Somah', 'F')]",2,Match Finished,6.67,7.05
151709,Al-Raed,Al-Hilal Saudi FC,1.0,3.0,King Abdullah Sport City Stadium,2018-09-15 18:50:00,2018/2019,B. Hasi,Jorge Jesus,4-2-3-1,4-3-3,"[('A. Doukha', 'G'), ('Yahya Al Muslem', 'D'), ('Mohammed Al Amri', None), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Sultan Farhan', 'M'), ('Y. El Ghanassy', 'M'), ('F. Hasani', 'M')]","[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Omar Abdulrahman', 'M'), ('Carlos Eduardo', 'M'), ('Salman Al Faraj', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F'), ('Omar Khribin', 'F')]",2,Match Finished,6.62,7.22
151712,Al Shabab,Al-Fateh,1.0,1.0,Prince Faisal bin Fahd Stadium,2018-09-20 18:30:00,2018/2019,M. Şumudică,F. Al Jabal,4-4-2,4-2-3-1,"[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('V. Găman', 'D'), ('Saleh Al Qumayzi', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdulmajeed Al Sulaiheem', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]","[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Majed Hazazi', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Mansour Hamzi', 'M'), ('Alkhali Bangoura', 'M')]",3,Match Finished,7.03,7.03
151715,Al-Ettifaq,Al-Fayha,3.0,0.0,Prince Mohamed Bin Fahd Stadium,2018-09-21 18:15:00,2018/2019,L. Ramos,G. Costas,4-2-3-1,4-4-2,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Ahmad Al Hbeab', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('F. Kiss', 'M'), ('B. Alemán', 'M'), ('Mohammed Alsubaie', 'M'), ('C. Guanca', 'M'), ('Abdulaziz Majrashi', None), ('F. Ben Youssef', 'F')]","[('C. Bonilla', 'G'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Sami Al Khaibari', None), ('A. Tziolis', 'M'), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Daifallah Al Qarni', None), ('R. Fernández', 'F'), ('J. Ruiz', 'M')]",3,Match Finished,7.25,6.51
151716,Al-Faisaly FC,Ohod,2.0,0.0,Prince Salman Bin Abdulaziz Sport City Stadium,2018-09-21 18:35:00,2018/2019,M. Rednic,F. Arce,4-2-3-1,4-2-3-1,"[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('Mohammed Majrashi', 'F'), ('Abdullah Al Hawsawi', 'M'), ('D. Calderón', 'F')]","[('Z. Laaroubi', 'G'), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Osama Ashoor', 'D'), ('Sami Kassar', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Motaz Tombakti', 'M'), ('Naif Hazazi', 'F'), ('Ribamar', 'F')]",3,Match Finished,7.06,6.9
151717,Al-Ahli Jeddah,Al-Hazm,2.0,0.0,King Abdullah Sports City,2018-09-21 20:35:00,2018/2019,P. Guede,D. Isăilă,4-3-3,4-4-2,"[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Abdulfattah Asiri', 'M'), ('Omar Al Somah', 'F')]","[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('Ismael Musallami', 'M'), ('J. Pajoy', 'F'), ('G. Álvarez', 'F')]",3,Match Finished,7.24,6.69
151718,Al Wehda Club,Al-Raed,4.0,1.0,King Abdul Aziz Stadium,2018-09-22 19:00:00,2018/2019,Fábio Carille,B. Hasi,4-2-3-1,4-2-3-1,"[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('R. Otero', 'M'), ('Faisal Darwish', 'D'), ('Marcos Guilherme', 'M'), ('Fernandão', 'F')]","[('A. Doukha', 'G'), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('Mohamed Atwa', 'D'), ('Mohammed Al-Shoraimi', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Sultan Farhan', 'M'), ('Y. El Ghanassy', 'M'), ('F. Hasani', 'M')]",3,Match Finished,7.15,6.27
151721,Al-Ittihad FC,Al Wehda Club,2.0,2.0,King Abdullah Sports City,2018-09-26 20:35:00,2018/2019,Bandar Basryh,Fábio Carille,4-2-3-1,4-2-3-1,"[('Assaf Al Qarni', 'G'), ('M. Jurman', 'D'), ('Mansour Al Harbi', 'D'), ('Ziyad Al Sahafi', 'D'), ('Tariq Mohammed', 'M'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jamal Ba Jandooh', 'M'), ('Khaled Al Samiri', None), ('Abdulrahman Al Ghamdi', 'M')]","[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('R. Otero', 'M'), ('Faisal Darwish', 'D'), ('Marcos Guilherme', 'M'), ('Fernandão', 'F')]",4,Match Finished,6.83,6.86
151722,Al-Ettifaq,Ohod,0.0,0.0,Prince Mohamed Bin Fahd Stadium,2018-09-27 18:10:00,2018/2019,L. Ramos,F. Arce,4-2-3-1,4-4-2,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Ahmad Al Hbeab', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('Khalifa Al-Masrahi', 'D'), ('F. Kiss', 'M'), ('B. Alemán', 'M'), ('Mohammed Alsubaie', 'M'), ('C. Guanca', 'M'), ('Abdulaziz Majrashi', None), ('F. Ben Youssef', 'F')]","[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('Sami Kassar', 'D'), ('Omar Mohammead', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Bruno Michel', 'M'), ('Ribamar', 'F'), ('H. Eissa', 'F')]",4,Match Finished,6.9,7.0
151723,Al-Hazm,Al-Faisaly FC,2.0,1.0,Al Hazm Club Stadium,2018-09-27 18:35:00,2018/2019,D. Isăilă,M. Rednic,4-2-3-1,4-2-3-1,"[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('C. Feraud', 'M'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('J. Pajoy', 'F'), ('Mohammed Al Saiari', 'F')]","[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('Fahad Al Ansari', 'M'), ('K. Hyland', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('Mohammed Majrashi', 'F'), ('D. Calderón', 'F')]",4,Match Finished,6.97,6.59
151724,Al-Fayha,Al-Qadisiyah FC,4.0,2.0,Prince Salman Bin Abdulaziz Sport City Stadium,2018-09-28 18:30:00,2018/2019,G. Costas,A. Stanojević,4-4-2,4-4-2,"[('C. Bonilla', 'G'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Ahmed Bamsaud', None), ('Omar Hamad Al Aowda', 'D'), ('A. Tziolis', 'M'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Abdullah Al Salem', None), ('R. Fernández', 'F'), ('J. Ruiz', 'M')]","[('J. Duncan', 'G'), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Ibrahim Al Shuayl', 'D'), ('Élton', 'M'), ('Yago', 'M'), ('Hassan Alamiri', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M')]",4,Match Finished,6.94,6.42
151726,Al-Ahli Jeddah,Al Baten,2.0,0.0,Al-Batin Club Stadium,2018-09-29 20:35:00,2018/2019,P. Guede,F. Vercauteren,4-2-3-1,4-3-3,"[('Mohammed Al Owais', 'G'), ('Mohamed Abdul Shafy', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Nouh Al mousa', 'M'), ('Salman Al Moasher', 'M'), ('Omar Al Somah', 'F')]","[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Sultan Msarhi', None), ('Bandar Al Mutairi', 'D'), ('J. Arango', 'M'), ('Baraka', 'M'), ('M. Riascos', 'M'), ('Majed Kanabah', 'M'), ('Mhana Al Enazi', 'D'), ('A. Bouhaddouz', 'F'), ('Crysan', 'M')]",4,Match Finished,7.23,6.56
151727,Al-Fateh,Al-Ittihad FC,2.0,0.0,Prince Abdullah bin Jalawi Stadium,2018-10-04 18:05:00,2018/2019,F. Al Jabal,S. Bilić,4-2-3-1,4-2-3-1,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Abdullah Al Ammar', 'D'), ('Hamad Al Juhaim', 'F'), ('Alkhali Bangoura', 'M')]","[('Assaf Al Qarni', 'G'), ('M. Jurman', 'D'), ('Mansour Al Harbi', 'D'), ('Ziyad Al Sahafi', 'D'), ('Tariq Mohammed', 'M'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jamal Ba Jandooh', 'M'), ('A. Pešić', 'F'), ('Abdulrahman Al Ghamdi', 'M')]",5,Match Finished,7.09,6.59
151728,Al-Fayha,Al-Raed,0.0,3.0,Prince Salman Bin Abdulaziz Sport City Stadium,2018-10-04 18:20:00,2018/2019,G. Costas,B. Hasi,4-4-2,4-2-3-1,"[('C. Bonilla', 'G'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Ahmed Bamsaud', None), ('A. Tziolis', 'M'), ('J. Gómez', 'M'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Abdullah Al Salem', None), ('Nayef Mohammad Kariri', 'M'), ('R. Fernández', 'F')]","[('A. Doukha', 'G'), ('H. Belkaroui', 'D'), ('Mohammed Al Amri', None), ('Abdullah Al Shamekh', 'D'), ('Mohamed Atwa', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Y. El Ghanassy', 'M'), ('F. Hasani', 'M'), ('Saleh Al Shehri', None)]",5,Match Finished,6.46,7.27
151729,Al Taawon,Al Shabab,1.0,1.0,King Abdullah Sport City Stadium,2018-10-05 18:25:00,2018/2019,Pedro Emanuel,M. Şumudică,4-3-3,4-1-4-1,"[('Cássio', None), ('Jufain Al Bishi', 'D'), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Jehad Al Hussain', 'M'), ('Sandro Manoel', 'M'), ('Saeed Al Dosari', 'M'), ('Madallah Alolayan', 'D'), ('Héldon', 'M'), ('C. Amissi', 'M'), ('L. Tawamba Kana', 'F')]","[('F. Ben Mustapha', 'G'), ('Mohammed Salem', None), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdulmajeed Al Sulaiheem', 'M'), ('Abdullah Alkhaibari', 'M'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]",5,Match Finished,6.85,6.75
151730,Ohod,Al Baten,0.0,1.0,Prince Mohammed bin Abdul Aziz Stadium,2018-10-05 18:45:00,2018/2019,F. Arce,F. Vercauteren,4-4-2,4-3-3,"[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('Sami Kassar', 'D'), ('Omar Mohammead', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Bruno Michel', 'M'), ('Ribamar', 'F'), ('Mohameed Eldaw', 'M')]","[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Sultan Msarhi', None), ('Bandar Al Mutairi', 'D'), ('J. Arango', 'M'), ('Baraka', 'M'), ('M. Riascos', 'M'), ('Majed Kanabah', 'M'), ('Mhana Al Enazi', 'D'), ('A. Bouhaddouz', 'F'), ('Crysan', 'M')]",5,Match Finished,6.91,6.91
151731,Al-Ahli Jeddah,Al-Faisaly FC,2.0,0.0,King Abdullah Sports City,2018-10-05 18:50:00,2018/2019,P. Guede,M. Rednic,4-1-4-1,4-2-3-1,"[('Mohammed Al Owais', 'G'), ('Alexis', 'D'), ('Mohamed Abdul Shafy', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Abdalla El Said', 'M'), ('Hussain Al Mogahwi', 'M'), ('Salman Al Moasher', 'M'), ('Omar Al Somah', 'F')]","[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('K. Hyland', 'M'), ('Mohammed Abusabaan', 'M'), ('Omar Abdulaziz', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('Abdullah Al Hawsawi', 'M'), ('D. Calderón', 'F')]",5,Match Finished,7.33,6.57
151732,Al-Nassr,Al-Hazm,5.0,1.0,Prince Faisal bin Fahd Stadium,2018-10-05 20:40:00,2018/2019,D. Carreño,D. Isăilă,4-2-3-1,4-2-3-1,"[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Petros', 'M'), ('Abdulaziz Al Jebreen', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('N. Amrabat', 'M'), ('A. Musa', 'F'), ('A. Hamdallah', 'F')]","[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('C. Feraud', 'M'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Yousef Qalfa', 'M'), ('Masood Bekheet', 'D'), ('J. Pajoy', 'F'), ('Mohammed Al Saiari', 'F')]",5,Match Finished,7.36,6.53
151735,Al-Hazm,Al-Qadisiyah FC,2.0,1.0,Al Hazm Club Stadium,2018-10-18 18:15:00,2018/2019,D. Isăilă,A. Stanojević,4-2-3-1,4-2-3-1,"[('M. Asselah', 'G'), ('Alemão', 'D'), ('Khaled Al Barakah', 'D'), ('Saif Hussain', 'D'), ('C. Feraud', 'M'), ('Muralha', 'M'), ('Rodolfo', 'M'), ('Masood Bekheet', 'D'), ('J. Pajoy', 'F'), ('Ali Kharmi', 'F'), ('Mohammed Al Saiari', 'F')]","[('Faisal Al Masrahi', 'G'), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Ibrahim Al Shuayl', 'D'), ('Élton', 'M'), ('Shaya Ali Sharahli', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]",6,Match Finished,7.09,6.66
151736,Al Wehda Club,Al-Fayha,2.0,1.0,King Abdul Aziz Stadium,2018-10-18 18:35:00,2018/2019,Fábio Carille,Mohammed Alaryani,4-2-3-1,4-1-4-1,"[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('Faisal Darwish', 'D'), ('Marcos Guilherme', 'M'), ('Abdulelah Al Malki', 'M'), ('Ali Al-Nemer', 'M'), ('Fernandão', 'F')]","[('C. Bonilla', 'G'), ('Naldo', 'M'), ('Nawaf Al Sabhi', None), ('Abdullah Kano', None), ('Sami Al Khaibari', None), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Abdulrahman Al Barakah', 'M'), ('Hassen Jaaferi', 'M'), ('Majed Al Najrani', 'M'), ('Abdullah Al Salem', None)]",6,Match Finished,6.8,6.6
