fixture_id,home_team,away_team,home_goals,away_goals,venue,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status,H_avg_ratings,A_avg_ratings
234858,Al-Nassr,Al Taawon,2.0,1.0,Prince Faisal bin Fahd Stadium,2019-12-13 18:45:00,2019/2020,Rui Vitória,Paulo Sérgio,4-2-3-1,4-2-3-1,"[('B. Jones', 'G'), ('Maicon', 'D'), ('Abdullah Madu', 'D'), ('Sultan Al Ghanam', None), ('Giuliano', 'M'), ('Petros', 'M'), ('Awdh Faraj', 'D'), ('Mukhtar Ali', 'M'), ('N. Amrabat', 'M'), ('A. Musa', 'M'), ('Abdulfattah Mohamed Adam', 'D')]","[('Cássio', 'G'), ('Ricardo Machado', 'D'), ('Ahmad Asiri', 'D'), ('Madallah Alolayan', 'D'), ('Talal Alabsi', 'D'), ('Sandro Manoel', 'M'), ('Nildo Petrolina', 'M'), ('C. Amissi', 'M'), ('Abdulmajeed Al-Swat', 'M'), ('Héldon', 'M'), ('L. Tawamba Kana', 'F')]",11,Match Finished,7.1,6.65
234864,Al-Ittihad FC,Al-Faisaly FC,1.0,2.0,King Abdullah Sports City,2019-12-14 18:45:00,2019/2020,H. ten Cate,Péricles Chamusca,4-2-3-1,4-2-3-1,"[('Fawaz Al Qarni', 'G'), ('M. da Costa', 'D'), ('Mansour Al Harbi', 'D'), ('Abdullah Al Ammar', 'D'), ('Hamdan Al Shamrani', 'M'), ('Saud Abdul Hamid', 'D'), ('K. El Ahmadi', 'M'), ('Abdulaziz Al Bishi', 'M'), ('Abdulelah Al Malki', 'M'), ('Romarinho', 'M'), ('Haroune Camara', 'F')]","[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Raphael Silva', 'D'), ('Khaled Al Ghamdi', 'D'), ('Mohammed Qassem Al Nakhli', 'D'), ('K. Hyland', 'M'), ('R. Bonevacia', 'M'), ('Luisinho', 'M'), ('Y. El Jebli', 'M'), ('Hussain Al Monassar', 'M'), ('William', 'F')]",11,Match Finished,6.61,6.88
234870,Al-Fayha,Al-Ittihad FC,4.0,1.0,Al Majma'ah Sports City Stadium,2019-12-19 14:15:00,2019/2020,Jorge Simão,H. ten Cate,4-2-3-1,4-1-4-1,"[('Moslem Freej', 'G'), ('Gêgê', 'D'), ('Ahmed Bamsaud', 'D'), ('Sami Al Khaibari', 'D'), ('Mokher Al-Rashidi', 'D'), ('Abdulah Al Mutairi', 'M'), ('Abdulrahman Al Barakah', 'M'), ('S. Owusu', 'M'), ('Muhammad Fallatah', 'M'), ('R. Fernández', 'F'), ('Arsénio', 'M')]","[('Fawaz Al Qarni', 'G'), ('Mansour Al Harbi', 'D'), ('Ammar Al Daheem', 'D'), ('Abdullah Al Ammar', 'D'), ('Tareq Abdullah', 'D'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Abdulaziz Al Bishi', 'M'), ('Abdulelah Al Malki', 'M'), ('A. Prijović', 'F'), ('Romarinho', 'M')]",12,Match Finished,7.07,6.5
234865,Abha,Al Shabab,2.0,0.0,Prince Sultan bin Abdul Aziz Stadium,2019-12-19 14:40:00,2019/2020,A. Chebbi,Luis García,4-4-2,4-1-4-1,"[(""A. M'Hamdi"", 'G'), ('Karam Barnawi', 'D'), ('M. Tahrat', 'D'), ('A. Atouchi', 'D'), ('Khalid Al-Khathlan', 'D'), ('K.  Aouadhi', 'M'), ('R. Gabriel', 'M'), ('S. Bguir', 'F'), ('Ammar Al Najjar', 'M'), ('Sumayhan Alnabit', 'M'), ('F. Andriatsima', 'F')]","[('F. Ben Mustapha', 'G'), ('Mohammed Salem', 'D'), ('Ahmed Sharahili', 'D'), ('Mohammed Al Baqawi', 'D'), ('I. Adam', 'D'), ('Abdulmalek Al Khaibri', 'M'), ('D. Moreno', 'M'), ('Turki Al-Ammar', 'M'), ('Mohammad Al Sahlawi', 'F'), ('Sebá', 'M'), ('C. Guanca', 'M')]",12,Match Finished,7.09,6.48
234867,Al Taawon,Al Wehda Club,2.0,1.0,King Abdullah Sport City Stadium,2019-12-19 16:55:00,2019/2020,Paulo Sérgio,D. Carreño,4-2-3-1,4-2-3-1,"[('Cássio', 'G'), ('Ricardo Machado', 'D'), ('Ahmad Asiri', 'D'), ('Yaseen Barnawi', 'D'), ('Sandro Manoel', 'M'), ('Nildo Petrolina', 'D'), ('C. Amissi', 'M'), ('Ryan Al Mousa', 'M'), ('Abdulmajeed Al-Swat', 'M'), ('Héldon', 'M'), ('L. Tawamba Kana', 'F')]","[('M. Zeghba', 'G'), ('Botía', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Waleed Bakshween', 'M'), ('Faisal Darwish', 'M'), ('Fawaz Al Sagourq', 'D'), ('Jaber Issa', 'M'), ('C. Goodwin', 'M'), ('Y. Niakaté', 'F'), ('Marcos Guilherme', 'M')]",12,Match Finished,6.85,6.83
234869,Al-Ahli Jeddah,Dhamk,5.0,1.0,King Abdullah Sports City,2019-12-19 18:50:00,2019/2020,C. Gross,N. Zekri,4-2-3-1,4-1-4-1,"[('Yasser Al Mosailem', None), ('Lucas Lima', 'D'), ('Mohammed Al Fatil', 'D'), ('Motaz Hawsawi', 'D'), ('Josef de Souza', 'M'), ('Hussain Al Mogahwi', 'M'), ('E. Sarić', 'M'), ('Yazeed Al Bakr', 'D'), ('Salman Al Moasher', 'M'), ('Djaniny Tavares', 'F'), ('Abdulfattah Asiri', 'M')]","[('C. Rahmani', 'G'), ('Jorge Fellipe', 'D'), ('Majed Hazazi', 'D'), ('Hamad Al Jayzani', 'D'), ('Bandar Baajaj', 'D'), ('Mohammed Abusabaan', 'M'), ('Zezinho', 'M'), ('Mohanad Al Najai', 'M'), ('Abdul Wahab Jafar', 'M'), ('M. Iajour', 'F'), ('Z. Hadraf', 'M')]",12,Match Finished,7.14,6.45
234872,Al-Raed,Al-Ettifaq,3.0,2.0,King Abdullah Sport City Stadium,2019-12-21 14:20:00,2019/2020,B. Hasi,Khaled Al Atawi,4-2-3-1,4-2-3-1,"[('A. Doukha', 'G'), ('E. Palomeque', 'D'), ('Mohammed Al Doseri', 'D'), ('Mohammed Al Amri', 'D'), ('Abdullah Al Fahad', 'D'), ('A. Djoum', 'M'), ('M. Fouzair', 'M'), ('Rayed Al Ghamdi', 'F'), ('Ahmed Zain', 'M'), ('Sultan Farhan', 'M'), ('J. Daoudi', 'M')]","[(""R. M'Bolhi"", 'G'), ('O. Haddadi', 'D'), ('Saleh Al Qumayzi', 'D'), ('Saeed Al Rubaie', 'D'), ('Abdullah Khateeb', 'D'), ('Rogerinho', 'M'), ('N. Sliti', 'M'), ('Ali Abdullah Hazzazi', 'M'), ('Ibrahim Mahnashi', 'M'), ('Saleh Al Jamaan', 'M'), ('Hazzaa Al Hazzaa', 'F')]",12,Match Finished,6.72,6.67
234873,Al-Raed,Al-Adalah,1.0,0.0,King Abdullah Sport City Stadium,2019-12-26 16:55:00,2019/2020,B. Hasi,N. Beyaoui,4-1-4-1,3-4-3,"[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('Mohammed Al Doseri', 'D'), ('Mohammed Al Amri', 'D'), ('Abdullah Al Fahad', 'D'), ('A. Djoum', 'M'), ('M. Fouzair', 'M'), ('Rayed Al Ghamdi', 'F'), ('Ahmed Zain', 'M'), ('Sultan Farhan', 'M'), ('J. Daoudi', 'M')]","[('Ali Al Mazidi', 'G'), ('Mortada Al Barrih', 'D'), ('S. Mandaw', 'D'), ('Radhi Al Radhi', 'D'), ('Ali Al-Salem', 'M'), ('A. Cissé', 'F'), ('Nader Al Mowalad', 'M'), ('Hussain Al Nakhli', 'F'), ('Riyadh Sharahili', 'M'), ('M. Biteghé', 'M'), ('C. Andriamatsinoro', 'F')]",13,Match Finished,7.0,6.7
234878,Al-Hazm,Al-Hilal Saudi FC,1.0,1.0,Ar-Rass Stadium,2019-12-26 18:50:00,2019/2020,D. Isăilă,R. Lucescu,4-2-3-1,4-2-3-1,"[('M. Asselah', 'G'), ('Alemão', 'D'), ('Abdullah Al-Shammari', 'D'), ('Mohammed Al-Zubaidi', 'D'), ('D. Fettouhi', 'M'), ('I. Tandia', 'M'), ('Hassan Al-Habib', 'M'), ('Abdulaziz Al-Nashi', 'M'), ('Osama Al Khalaf', 'D'), ('C. Strandberg', 'F'), ('Faris Al Alayaf', 'M')]","[('Abdullah Al Maiouf', None), ('Jang Hyun-Soo', 'D'), ('Abdullah Al Hafith', 'D'), ('Hasan Kadesh', 'D'), ('Mohammed Al Burayk', 'D'), ('Hattan Bahebri', 'M'), ('Abdullah Otayf', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F'), ('S. Giovinco', 'M'), ('Omar Khribin', 'M')]",13,Match Finished,6.88,6.87
234880,Al-Fayha,Al-Nassr,1.0,4.0,Al Majma'ah Sports City Stadium,2019-12-28 14:20:00,2019/2020,Jorge Simão,Rui Vitória,4-2-3-1,4-2-3-1,"[(""Amer Shafi'"", 'G'), ('Gêgê', 'D'), ('Ahmed Bamsaud', 'D'), ('Sami Al Khaibari', 'D'), ('Mokher Al-Rashidi', 'D'), ('Neto', 'M'), ('Abdulah Al Mutairi', 'M'), ('Abdulrahman Al Barakah', 'M'), ('S. Owusu', 'M'), ('R. Fernández', 'F'), ('Arsénio', 'M')]","[('B. Jones', 'G'), ('Maicon', 'D'), ('Abdullah Madu', 'D'), ('Sultan Al Ghanam', 'D'), ('Giuliano', 'M'), ('Petros', 'M'), ('Awdh Faraj', 'D'), ('Abdullah Alkhaibari', 'M'), ('N. Amrabat', 'M'), ('A. Musa', 'M'), ('A. Hamdallah', 'F')]",13,Match Finished,6.29,7.13
