,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status,H_avg_ratings,A_avg_ratings
171,312909,Al Taawon,Al-Ahli Jeddah,1.0,0.0,King Abdullah Sport City Stadium,S. Jovanović,2020-03-11T17:50:00+03:00,2019/2020,Vítor Campelos,V. Milojević,3-4-2-1,4-2-3-1,"[('Cássio', 'G'), ('Ricardo Machado', 'D'), ('Ahmad Asiri', 'D'), ('Yaseen Barnawi', 'M'), ('Fahd Al Hamad', 'D'), ('Sandro Manoel', 'M'), ('Nildo Petrolina', 'M'), ('C. Amissi', 'M'), ('Abdulmajeed Al-Swat', 'F'), ('Héldon', 'F'), ('L. Tawamba Kana', 'F')]","[('Yasser Al Mosailem', 'G'), ('Lucas Lima', 'D'), ('Mohammed Al Fatil', 'D'), ('Abdullah Tarmin', 'D'), ('Abdulbasit Hindi', 'D'), ('M. Marin', 'M'), ('Josef de Souza', 'M'), ('E. Sarić', 'M'), ('Salman Al Moasher', 'M'), ('Y. Belaïli', 'M'), ('Omar Al Somah', 'F')]",22,Match Finished,6.91,6.91
172,312907,Al-Ittihad FC,Al Wehda Club,1.0,2.0,King Abdullah Sports City,I. Kovacs,2020-03-11T19:45:00+03:00,2019/2020,Fábio Carille,D. Carreño,4-2-3-1,4-2-3-1,"[('Marcelo Grohe', 'G'), ('Mansour Al Harbi', 'D'), ('Bruno Uvini', 'D'), ('Hamdan Al Shamrani', 'D'), ('Saud Abdul Hamid', 'D'), ('Abdulelah Al Malki', 'M'), ('Khaled Al Samiri', None), ('W. Bony', 'F'), ('Romarinho', 'M'), ('A. Badri', 'M'), ('Abdulrahman Al Obod', 'M')]","[('Abdullah Al Jadani', 'G'), ('Botía', 'D'), ('Renato Chaves', 'D'), ('Hamad Al Jayzani', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('Mohammed Al Qarni', 'M'), ('Luisinho', 'M'), ('Fawaz Al Sagourq', 'D'), ('C. Goodwin', 'M'), ('Y. Niakaté', 'F')]",22,Match Finished,6.74,6.94
173,312910,Al-Nassr,Al-Raed,4.0,1.0,Prince Faisal bin Fahd Stadium,T. Bognár,2020-03-11T19:45:00+03:00,2019/2020,Rui Vitória,B. Hasi,4-3-3,5-3-2,"[('B. Jones', 'G'), ('Maicon', 'D'), ('Omar Hawsawi', 'D'), ('Abdulrahman Al Obaid', 'D'), ('Sultan Al Ghanam', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Mukhtar Ali', 'M'), ('N. Amrabat', 'F'), ('A. Hamdallah', 'F'), ('Khalid Al Ghannam', 'F')]","[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('E. Palomeque', 'D'), ('Mohammed Al Doseri', 'D'), ('Mohammed Al Amri', 'D'), ('Abdullah Al Fahad', 'D'), ('A. Djoum', 'M'), ('M. Fouzair', 'F'), ('Rayed Al Ghamdi', 'F'), ('Sultan Farhan', 'M'), ('J. Daoudi', 'M')]",22,Match Finished,7.11,6.45
174,312908,Al-Fateh,Al-Adalah,0.0,1.0,Prince Abdullah bin Jalawi Sports City Stadium,A. Kulbakov,2020-03-12T17:30:00+03:00,2019/2020,Y. Ferrera,N. Beyaoui,4-2-3-1,4-2-3-1,"[('Hbib Alwotayan', 'G'), ('M. Aguirregaray', 'D'), ('Mohammed Naji', 'D'), ('Tawfiq Buhumaid', 'D'), ('G. Wikheim', 'M'), ('S. Bendebka', 'M'), ('M. Saadane', 'D'), ('Majed Kanabah', 'M'), ('Ali Al Hassan', 'M'), ('B. Kadrii', 'M'), ('M. te Vrede', 'F')]","[('Ali Al Mazidi', 'G'), ('Bader Al Nakhli', 'D'), ('Abdullah Al Yousef', 'D'), ('Radhi Al Radhi', 'D'), ('Awadh Khrees', 'D'), ('Ahmed Al Nazera', 'M'), ('Ahmed Al Sultan', 'M'), ('A. Cissé', 'M'), ('M. Biteghé', 'M'), ('C. Andriamatsinoro', 'F'), ('A. Traoré', 'M')]",22,Match Finished,6.94,6.97
175,312903,Al-Hazm,Al-Faisaly FC,2.0,2.0,Ar-Rass Stadium,I. Kovacs,2020-03-13T17:50:00+03:00,2019/2020,André Gaspar,Péricles Chamusca,5-4-1,4-2-3-1,"[('M. Asselah', 'G'), ('Naif Al-Mousa', 'D'), ('Alemão', 'D'), ('Abdullah Al-Shammari', 'D'), ('Saif Hussain', 'D'), ('K. Yoda', 'M'), ('D. Fettouhi', 'M'), ('Muralha', 'M'), ('Osama Al Khalaf', 'D'), ('Jonathan Cafú', 'M'), ('Y. Omar', 'F')]","[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Raphael Silva', 'D'), ('Khaled Al Ghamdi', 'D'), ('Mohammed Qassem Al Nakhli', 'D'), ('K. Hyland', 'M'), ('Y. El Jebli', 'M'), ('Hussain Al Monassar', 'M'), ('Khalid Al Kabi', 'M'), ('Mohammed Al-Saiari', 'F'), ('Guilherme', 'M')]",22,Match Finished,6.85,6.58
176,312917,Al-Fateh,Al-Fayha,2.0,0.0,Prince Abdullah bin Jalawi Sports City Stadium,Turki Al Khudair,2020-08-04T19:00:00+03:00,2019/2020,Y. Ferrera,Jorge Simão,4-3-3,4-2-3-1,"[('Hbib Alwotayan', 'G'), ('M. Aguirregaray', 'F'), ('Ali Alawjami', 'D'), ('Abdullah Al Yousif', 'D'), ('Nawaf Boushal', 'D'), ('Mohammed Alfehaid', 'M'), ('Tawfiq Buhumaid', 'F'), ('G. Wikheim', 'F'), ('S. Bendebka', 'M'), ('M. Saadane', 'D'), ('Ali Al Hassan', 'M')]","[('Moslem Freej', 'G'), ('Gêgê', 'D'), ('Nawaf Al Sabhi', 'D'), ('Mohammed Al Baqawi', 'D'), ('Sami Al Khaibari', 'D'), ('Hani Al Sibyani', 'M'), ('C. Villanueva', 'M'), ('Neto', 'M'), ('Abdulrahman Al Barakah', 'M'), ('F. Andriatsima', 'F'), ('Arsénio', 'M')]",23,Match Finished,6.94,6.65
177,312916,Abha,Al-Ittihad FC,2.0,1.0,Prince Sultan bin Abdulaziz Sports City Stadium,Majed Al Shamrani,2020-08-04T19:15:00+03:00,2019/2020,A. Chebbi,Fábio Carille,4-2-3-1,4-3-2-1,"[(""A. M'Hamdi"", 'G'), ('Karam Barnawi', 'D'), ('M. Tahrat', 'M'), ('A. Atouchi', 'D'), ('Nader Abdullah Al Sharari', 'D'), ('Khalid Al-Khathlan', 'D'), ('K.  Aouadhi', 'M'), ('S. Bguir', 'M'), ('Ammar Al Najjar', 'M'), ('Hassan Algeed', 'M'), ('F. Chaouat', 'F')]","[('Marcelo Grohe', 'G'), ('Mansour Al Harbi', 'D'), ('Bruno Uvini', 'D'), ('Ammar Al Daheem', 'D'), ('Saud Abdul Hamid', 'D'), ('K. El Ahmadi', 'M'), ('Abdulelah Al Malki', 'M'), ('Khaled Al Samiri', None), ('Romarinho', 'F'), ('A. Badri', 'M'), ('Abdulrahman Al Obod', 'M')]",23,Match Finished,6.88,6.55
178,312913,Al-Raed,Dhamk,3.0,0.0,King Abdullah bin Abdulaziz City,Khaled Al Teris,2020-08-04T19:25:00+03:00,2019/2020,B. Hasi,N. Zekri,4-4-2,3-5-2,"[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('Mohammed Al Amri', 'D'), ('Abdullah Al Fahad', 'D'), ('Mohammed Al-Shoraimi', 'D'), ('A. Djoum', 'M'), ('Jehad Al Hussain', 'F'), ('M. Fouzair', 'M'), ('Ahmed Zain', 'M'), ('Sultan Farhan', 'M'), ('M. Pérez', 'F')]","[('M. Zeghba', 'G'), ('S. Vittor', 'D'), ('Majed Hazazi', 'M'), ('F. Chafaï', 'D'), ('I. Adam', 'M'), ('I. Chenihi', 'M'), ('B. Saidani', 'D'), ('Mohammed Harzan', 'M'), ('Abdullah Al-Samtai', 'M'), ('E. Zelaya', 'F'), ('G. Ayadi', 'F')]",23,Match Finished,7.18,6.72
179,312911,Al-Faisaly FC,Al Taawon,2.0,1.0,Al Majma'ah Sports City Stadium,Faisal Alblwi,2020-08-04T20:45:00+03:00,2019/2020,Péricles Chamusca,Vítor Campelos,4-2-3-1,4-2-3-1,"[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Raphael Silva', 'D'), ('Mohammed Qassem Al Nakhli', 'D'), ('Abdullah Al Hazzan', None), ('K. Hyland', 'M'), ('Y. El Jebli', 'M'), ('Hussain Al Monassar', 'M'), ('Ahmed Al-Fiqi', 'M'), ('William', 'F'), ('Guilherme', 'M')]","[(""Hussain Shae'an"", 'G'), ('Ibrahim Al Zubaidi', 'D'), ('Ahmad Asiri', 'D'), ('Talal Alabsi', 'D'), ('Yaseen Barnawi', 'D'), ('Sandro Manoel', 'M'), ('Nildo Petrolina', 'M'), ('Mohammed Abusabaan', 'M'), ('C. Amissi', 'M'), ('Sultan Madash', 'M'), ('Rabeaa Sefiani', 'F')]",23,Match Finished,6.77,6.77
180,312912,Al-Ahli Jeddah,Al-Hazm,4.0,2.0,King Abdullah Sports City,Shukri Al Hanfosh,2020-08-04T21:15:00+03:00,2019/2020,V. Milojević,André Gaspar,4-2-3-1,5-4-1,"[('Mohammed Al-Owais', 'G'), ('Lucas Lima', 'D'), ('Motaz Hawsawi', 'D'), ('Saeed Al Mowalad', 'D'), ('Mohammed Al-Khabrani', 'D'), ('Josef de Souza', 'M'), ('E. Sarić', 'M'), ('Ali Hassan Al Asmari', 'M'), ('Omar Al Somah', 'F'), ('Abdulfattah Asiri', 'M'), ('Abdulrahman Ghareeb', 'M')]","[('M. Asselah', 'G'), ('Wesam Al-Sowayed', 'D'), ('Alemão', 'D'), ('Abdullah Al-Shammari', 'D'), ('Saif Hussain', 'D'), ('K. Yoda', 'M'), ('D. Fettouhi', 'M'), ('Abdulaziz Al-Nashi', 'M'), ('Osama Al Khalaf', 'D'), ('Jonathan Cafú', 'M'), ('C. Strandberg', 'F')]",23,Match Finished,7.0,6.67
